地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
花蓮縣政府,私立香柏樹短期補習班,,,文理類,吉安鄉,2021-07-29,167
花蓮縣政府,私立樂畫17美術音樂技藝短期補習班,,,音樂、舞蹈類,吉安鄉,2022-07-25,167
花蓮縣政府,私立佳姿文理短期補習班,,L6457@ms21.hinet.net,外語類,花蓮市,2002-09-09,167
花蓮縣政府,私立半畝溏短期補習班,,,文理類,花蓮市,2016-09-29,167
花蓮縣政府,私立頂勝文理技藝短期補習班,,,文理類,花蓮市,2021-07-14,167
花蓮縣政府,私立徐氏英語會話短期補習班,,,外語類,花蓮市,1999-05-10,167
花蓮縣政府,私立華陽文理短期補習班,,,文理類,花蓮市,2004-09-03,167
花蓮縣政府,私立亞瑟王美語短期補習班,,mandy_b_free@yahoo.com,外語類,花蓮市,2003-12-19,167
花蓮縣政府,私立水牛城文理短期補習班,,joyuhc@yahoo.com.tw,外語類,花蓮市,2006-06-21,167
花蓮縣政府,私立劉洋文理短期補習班,980185444,danisliu785@gmail.com,文理類,花蓮市,2009-11-02,167
花蓮縣政府,私立全方位文理短期補習班,,elva598.chen@msa.hinet.net,文理類,花蓮市,2002-03-04,167
花蓮縣政府,私立巨匠電腦文理技藝短期補習班,,allen.tsai@pcschool.com.tw,資訊類,花蓮市,1998-04-27,167
花蓮縣政府,私立得勝文理短期補習班,,a0915735232@gmail.com,文理類,花蓮市,2010-06-18,167
花蓮縣政府,私立富泰水電技藝短期補習班,,like.fts@msa.hinet.net,電機、汽車修護、建築、工藝、製圖類,花蓮市,2002-09-24,167
花蓮縣政府,大總統文化事業有限公司附設大東海法商電腦短期補習班負責人高朝棟,,chai8336286@yahoo.com.tw,文理類,花蓮市,2000-09-05,167
花蓮縣政府,功學社音樂中心股份有限公司附設洄瀾音樂短期補習班,,,音樂、舞蹈類,花蓮市,1984-02-24,167
花蓮縣政府,私立文星文理技藝短期補習班,,,文理類,花蓮市,2007-04-02,167
花蓮縣政府,私立銘興文理短期補習班,,,文理類,花蓮市,2002-09-06,167
花蓮縣政府,私立八分音符文理技藝短期補習班,,kitty52860@yahoo.com.tw,外語類,花蓮市,2006-08-17,167
花蓮縣政府,私立劍橋花蓮英語文理短期補習班,,sunismo@yahoo.com.tw,文理類,花蓮市,2007-12-25,167
花蓮縣政府,私立岳老師文理短期補習班,,yuehlh@gmail.com,文理類,花蓮市,2006-12-01,167
花蓮縣政府,私立茁苗文理技藝短期補習班,,cwirislin@gmail.com,文理類,花蓮市,2012-02-20,167
花蓮縣政府,薛老師補習班,,p226553@yahoo.com.tw,商類：珠算、心算、會計,花蓮市,2000-01-04,167
花蓮縣政府,私立巧巧國文創意作文短期補習班,,,文理類,花蓮市,2022-03-07,167
花蓮縣政府,私立格林美語文理技藝短期補習班,,angel.a8@msa.hinet.net,文理類,花蓮市,2009-08-21,167
花蓮縣政府,私立夢想家文理短期補習班,,,文理類,花蓮市,2018-01-17,167
花蓮縣政府,私立宏儒文理技藝短期補習班,,honglumeilu@yahoo.com.tw,文理類,花蓮市,2005-06-10,167
花蓮縣政府,私立邱格DNA文理短期補習班,,,文理類,花蓮市,2011-07-05,167
花蓮縣政府,私立新學賦文理短期補習班,,marslee0727@gmail.com,文理類,花蓮市,2020-06-22,167
花蓮縣政府,私立學承短期補習班,,,文理類,花蓮市,2019-10-07,167
花蓮縣政府,私立華盛頓美語文理短期補習班,,yisheng0617@gmail.com,文理類,花蓮市,2005-12-19,167
花蓮縣政府,私立向日葵短期補習班,,chiyinliu923@gmail.com,文理類,花蓮市,2019-06-17,167
花蓮縣政府,私立及人文理短期補習班,,,文理類,花蓮市,2008-12-09,167
花蓮縣政府,私立高登短期補習班,,,文理類,花蓮市,2016-12-13,167
花蓮縣政府,私立文揚文理短期補習班,,,文理類,花蓮市,2011-07-07,167
花蓮縣政府,私立亞典技藝短期補習班,,vivian680130@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,花蓮市,2011-12-15,167
花蓮縣政府,私立茱莉亞音樂教室技藝短期補習班,,weng0814260@gmail.com,音樂、舞蹈類,花蓮市,2008-03-12,167
花蓮縣政府,私立何嘉仁文理短期補習班,,hs3371@hess.com.tw,外語類,花蓮市,2002-07-03,167
花蓮縣政府,私立躍昇文理短期補習班,,shwujen0127@gmail.com,文理類,花蓮市,2015-11-11,167
花蓮縣政府,私立技網文理短期補習班,,,文理類,花蓮市,1997-12-27,167
花蓮縣政府,私立小袋鼠文理技藝短期補習班,,cwj480120@gmail.com,文理類,花蓮市,2000-06-21,167
花蓮縣政府,私立健弘短期補習班,,,文理類,花蓮市,2022-07-15,167
花蓮縣政府,小荳荳語文補習班,,,外語類,花蓮市,1999-03-12,167
花蓮縣政府,私立小牛津文理短期補習班,,,文理類,花蓮市,2000-10-26,167
花蓮縣政府,智基科技開發股份有限公司附設志光文理法商短期補習班,,,文理類,花蓮市,1999-06-28,167
