地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
台北市政府,臺北市私立安師文理短期補習班,5070,anschool25626993@gmail.com,文理類,中山區,2004-12-01,2584
台北市政府,東橋日語補習班,1970,tokyo@tokyo.com.tw,外語類,中山區,1985-02-09,2584
台北市政府,臺北市私立楊海銓技藝短期補習班,5874,,家政、插花、烹飪類,中山區,2007-06-06,2584
台北市政府,臺北市私立喚動舞蹈技藝短期補習班,7965,lct2119@gmail.com,音樂、舞蹈類,中山區,2020-09-09,2584
台北市政府,數位地球村語文資訊有限公司附設臺北市私立世界村語文短期補習班,2515,gvo0000007@gmail.com,外語類,中山區,1991-11-01,2584
台北市政府,百世教育科技股份有限公司附設百世文理補習班中山分班,6624,jeter8614020@hotmail.com,文理類,中山區,2010-08-30,2584
台北市政府,臺北市私立永華語文短期補習班,1985,eikan.sc@eikan.com.tw,外語類,中山區,1985-09-04,2584
台北市政府,臺北市私立威伶縫紉技藝短期補習班,8089,hsiangyun52@gmail.com,縫紉類,中山區,2021-09-07,2584
台北市政府,臺北市私立筠飛美力教室技藝短期補習班,8133,Fefe391413@gmail.com,美術、書法、攝影、美工設計、圍棋類,中山區,2022-01-06,2584
台北市政府,臺北市私立福音文理短期補習班,2899,,文理類,中山區,1994-11-01,2584
台北市政府,仁翰電腦文理短期補習班,3504,,資訊類,中山區,1999-09-01,2584
台北市政府,臺北市私立寶英文理短期補習班,7834,xs85097811@gmail.com,文理類,中山區,2019-06-17,2584
台北市政府,臺北市私立明科文理短期補習班,5166,mk0225338965@gmail.com,文理類,中山區,2005-03-01,2584
台北市政府,臺北市私立冠欣珠算文理補習班,3190,chester@wengshian.com,文理類,中山區,1997-10-01,2584
台北市政府,臺北市私立文可語文短期補習班,6549,hmdzj1@yahoo.com.tw,外語類,中山區,2010-05-04,2584
台北市政府,臺北市私立安德信語文資訊短期補習班,3569,joydz4700@gmail.com,外語類,中山區,2000-01-01,2584
台北市政府,儒庭語文補習班,4359,,外語類,中山區,2002-12-01,2584
台北市政府,臺北市私立米芮克音樂文理短期補習班,4457,,文理類,中山區,2003-03-01,2584
台北市政府,臺北市私立約克皇家英語語文文理短期補習班英格蘭分班,6447,,文理類,中山區,2009-11-01,2584
台北市政府,臺北市私立琴生語文音樂短期補習班,2807,,外語類,中山區,1993-11-01,2584
台北市政府,臺北市私立河岸百合蒙特梭利文理技藝短期補習班,5287,happyface526@gmail.com,文理類,中山區,2005-07-01,2584
台北市政府,臺北市私立孟庠文理短期補習班,4471,yishansophia@gmail.com,文理類,中山區,2003-04-01,2584
台北市政府,臺北市私立偉恩文理技藝短期補習班,6139,,文理類,中山區,2008-07-01,2584
台北市政府,臺北市私立易果文理短期補習班,7037,,文理類,中山區,2012-09-26,2584
台北市政府,臺北市私立金斯頓文理短期補習班,6249,,文理類,中山區,2008-12-01,2584
台北市政府,臺北市私立銓真文理短期補習班,7086,chantsengdz@gmail.com,文理類,中山區,2012-01-14,2584
台北市政府,臺北市私立睿智大直語文短期補習班,5896,dazhiaces@gmail.com,外語類,中山區,2007-06-27,2584
台北市政府,臺北市私立渤原文理短期補習班,7236,hsufenge7960239@gmail.com,文理類,中山區,2014-03-03,2584
台北市政府,碧老師英文補習班,4017,clairechiang1229@gmail.com,外語類,中山區,2001-12-01,2584
台北市政府,必肯語文補習班,5607,beltaipei2005@gmail.com,文理類,中山區,2006-06-01,2584
台北市政府,臺北市私立大直文理短期補習班,7854,,文理類,中山區,2019-08-28,2584
台北市政府,臺北市私立北安文理短期補習班,7853,,文理類,中山區,2019-08-28,2584
台北市政府,書拉密美容補習班,3629,counting@gloryspa.com.tw,美容、美髮理髮類,中山區,2000-06-01,2584
台北市政府,超倫文理短期補習班,3064,,文理類,中山區,1996-11-01,2584
台北市政府,台灣山葉音樂股份有限公司附設臺北市私立山葉音樂語文短期補習班,774,,音樂、舞蹈類,中山區,1972-12-05,2584
台北市政府,臺北市私立雲門舞集舞蹈短期補習班,3360,service_cgds@cgds.com.tw  ,音樂、舞蹈類,中山區,1998-10-01,2584
台北市政府,全球國際文化藝術有限公司附設臺北市私立美爾頓語文文理短期補習班,6242,,外語類,中山區,2008-11-01,2584
台北市政府,全球國際文化藝術有限公司附設臺北市私立美而頓語文文理短期補習班,7787,,文理類,中山區,2019-01-10,2584
台北市政府,臺北市私立貝斯語文文理短期補習班南京分班,7241,,文理類,中山區,2014-03-14,2584
