地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
基隆市政府,基隆市私立常容文理短期補習班,396,da24519602@gmail.com,文理類,七堵區,2017-05-12,213
基隆市政府,基隆市私立民昇文理短期補習班,156,,文理類,七堵區,1996-02-12,213
基隆市政府,基隆市私立小象文理短期補習班,272,,文理類,七堵區,2006-11-15,213
基隆市政府,基隆市私立神奇寶貝語文短期補習班,64,candy987908@yahoo.com.tw,外語類,七堵區,2001-01-30,213
基隆市政府,基隆市私立勿舍畫室短期補習班,117,woosirwoosir@gmail.com,美術、書法、攝影、美工設計、圍棋類,七堵區,1998-07-24,213
基隆市政府,基隆市私立萊萊語文短期補習班,306,hs2161@hess.com.tw,外語類,七堵區,2009-02-11,213
基隆市政府,基隆市私立七堵小牛頓文理短期補習班,121,mss206@pchome.com.tw,文理類,七堵區,1998-06-25,213
基隆市政府,基隆市私立小象短期補習班,101,,文理類,七堵區,2012-07-18,213
基隆市政府,基隆市私立七堵芝蔴街美語短期補習班,90,virginia0119@gmail.com,外語類,七堵區,1999-10-18,213
基隆市政府,基隆市私立穎聰語文短期補習班,34,kathryan@me.com,外語類,七堵區,2002-01-21,213
基隆市政府,基隆市私立育陽舞蹈短期補習班,425,,音樂、舞蹈類,七堵區,2021-06-01,213
基隆市政府,基隆市私立名人文理才藝短期補習班,351,劉素珍&amp;amp;amp;lt;polinliu@ms58.hinet.net&amp;amp;amp;gt;,文理類,七堵區,2012-09-18,213
基隆市政府,基隆市私立精湛文理短期補習班,60,wangyuan8786@gmail.com,文理類,七堵區,2001-03-28,213
基隆市政府,基隆市私立常春藤文理短期補習班,326,alvinceo@yahoo.com,文理類,七堵區,2010-08-24,213
基隆市政府,基隆市私立日勝文理短期補習班,207,js24514372@yahoo.com.tw,文理類,七堵區,2004-04-06,213
基隆市政府,基隆市私立精實文理短期補習班,265,chunghs.kung@msa.hinet.net,文理類,七堵區,2006-09-01,213
基隆市政府,基隆市私立佳佳心算短期補習班,105,chia.chia796@msa.hinet.net,商類：珠算、心算、會計,七堵區,1998-09-28,213
基隆市政府,基隆市私立啟育文理短期補習班,295,,文理類,七堵區,2008-05-07,213
基隆市政府,基隆市私立黃老師文理短期補習班,206,rene7065@gmail.com,外語類,七堵區,2004-03-19,213
基隆市政府,基隆市私立多元文理短期補習班,197,baifumpm@gmail.com,文理類,七堵區,2003-10-29,213
基隆市政府,基隆市私立大中文理短期補習班,112,da24519602@gmail.com,文理類,七堵區,1998-09-09,213
基隆市政府,基隆市私立星辰文理短期補習班,171,vivienne0918@gmail.com,文理類,七堵區,1994-04-13,213
基隆市政府,基隆市私立時代文理短期補習班,169,,文理類,七堵區,1994-08-15,213
基隆市政府,基隆市私立全方位文理短期補習班,316,alvinceo@yahoo.com,文理類,七堵區,2009-08-05,213
基隆市政府,基隆市私立文碩文理短期補習班,427,alison24682011@gmail.com,文理類,中山區,2021-05-18,213
基隆市政府,基隆市私立給我美語文理短期補習班,209,gailenglish99@yahoo.com.tw,文理類,中山區,2004-04-08,213
基隆市政府,基隆市私立國民文理短期補習班,193,c221556397@gmail.com,文理類,中山區,2003-09-03,213
基隆市政府,基隆市私立博文文理短期補習班,70,,文理類,中山區,2000-10-13,213
基隆市政府,基隆市私立愛米爾文理短期補習班,369,emile.edu.official@gmail.com,文理類,中山區,2014-02-14,213
基隆市政府,基隆市私立蕾頓文理短期補習班,61,debra141717@yahoo.com.tw,外語類,中山區,2001-03-27,213
基隆市政府,基隆市私立禾紜文理短期補習班,93,paul04162002@yahoo.com.tw,文理類,中山區,1999-07-08,213
基隆市政府,基隆市私立全芳文教文理短期補習班,405,,文理類,中山區,2018-07-02,213
基隆市政府,基隆市私立向日葵短期補習班,365,,文理類,中山區,2013-10-23,213
基隆市政府,基隆市私立韻文理短期補習班,211,huiling24277282@yahoo.com.tw,文理類,中山區,2004-04-30,213
基隆市政府,基隆市私立華純逸舞藝短期補習班,208,chunyi529@hotmail.com,音樂、舞蹈類,中山區,2004-04-08,213
基隆市政府,基隆市私立文昌文理短期補習班,130,damontseng@envimac.com.tw,文理類,中山區,1997-12-04,213
基隆市政府,基隆市私立復興文理短期補習班,50,coco1tseng@hotmail.com,文理類,中山區,2001-06-26,213
基隆市政府,基隆市私立小苗圃文理短期補習班,188,jenny0937909@gmail.com,外語類,中山區,2003-05-13,213
基隆市政府,基隆市私立凱旋文理短期補習班,319,oglit0514@gmail.com,文理類,中山區,2009-12-11,213
基隆市政府,基隆市私立寶拉文理短期補習班,420,,文理類,中山區,2020-11-05,213
基隆市政府,基隆市私立文殊文理短期補習班,226,jacky77315@gmail.com,文理類,中山區,2005-01-13,213
基隆市政府,基隆市私立大成文理短期補習班,81,,文理類,中山區,2000-06-01,213
基隆市政府,基隆市私立虹韻文理短期補習班,89,x0917239546@mail.com,文理類,中山區,1999-12-04,213
基隆市政府,基隆市私立崧濤文理短期補習班,151,songtao199@gmail.com,文理類,中正區,1996-10-16,213
基隆市政府,基隆市私立雪力文理短期補習班,336,linwanru01@yahoo.com.tw,文理類,中正區,2011-05-04,213
基隆市政府,基隆市私立立昇文理短期補習班,203,pepegk58@gmail.com,文理類,中正區,2004-01-29,213
基隆市政府,基隆市私立家仁短期補習班,385,,文理類,中正區,2015-12-30,213
基隆市政府,基隆市私立陳老師文理短期補習班,253,grace.lian@msa.hinet.net,文理類,中正區,2006-01-06,213
基隆市政府,基隆市私立佳興語文短期補習班,415,,外語類,中正區,2020-11-06,213
基隆市政府,基隆市私立又福文理短期補習班,162,lanchih29@pchome.com.tw,文理類,中正區,1995-12-19,213
基隆市政府,基隆市私立海大文理短期補習班,302,annlinhere86@yahoo.com.tw,文理類,中正區,2008-09-16,213
基隆市政府,基隆市私立新文成文理短期補習班,72,林秉宏&amp;lt;lbhterry@gmail.com&amp;gt;,文理類,中正區,2000-10-06,213
基隆市政府,基隆市私立培利安文理短期補習班,21,,文理類,中正區,2005-11-30,213
基隆市政府,基隆市私立林老師文理短期補習班,423,b01703009@ntu.edu.tw,文理類,中正區,2021-03-03,213
基隆市政府,台灣知識庫股份有限公司附設基隆市私立大碩洋碩數位學堂文理短期補習班,299,j2326017@gmail.com,文理類,中正區,2008-07-04,213
基隆市政府,基隆市私立孫翠玲舞蹈短期補習班,179,fs.dance@msa.hinet.net,音樂、舞蹈類,中正區,1992-08-11,213
基隆市政府,基隆市私立宜人音樂短期補習班,192,,音樂、舞蹈類,中正區,2003-07-21,213
基隆市政府,金品教育事業股份有限公司附設基隆市私立金品升大文理短期補習班,392,alvinceo@yahoo.com,文理類,中正區,2016-12-12,213
基隆市政府,施化難陀有限公司附設基隆市私立境瑜珈短期補習班,391,keelung@sivanandayoga.com.tw,瑜珈類,中正區,2016-08-31,213
基隆市政府,基隆市私立新吳平文理短期補習班,223,no05082001@yahoo.com.tw,文理類,中正區,2004-11-10,213
