地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
新北市政府,私立IMAGE DANCE STUDIO 妍嬁舞蹈技藝短期補習班,109063,,音樂、舞蹈類,三峽區,2020-07-03,2780
新北市政府,私立小甜甜語文短期補習班,97188,f58940024@gmail.com,外語類,三峽區,2008-10-29,2780
新北市政府,私立宏名文理短期補習班,108095,jamie06242000@yahoo.com.tw,文理類,三峽區,2019-11-20,2780
新北市政府,私立璟瀚文理短期補習班 ,101147,,文理類,三峽區,2012-11-19,2780
新北市政府,私立哈姆文理短期補習班,94163,hamoo86719136@gmail.com,文理類,三峽區,2005-08-08,2780
新北市政府,私立小園丁文理短期補習班,95260,s891170@yahoo.com.tw,文理類,三峽區,2006-10-11,2780
新北市政府,私立精華文理語文短期補習班,102129,,文理類,三峽區,2013-11-19,2780
新北市政府,私立馬克英文文理短期補習班,103072,leeho3876@gmail.com,文理類,三峽區,2014-08-20,2780
新北市政府,私立山音音樂珠心算短期補習班,95195,,音樂、舞蹈類,三峽區,2006-07-31,2780
新北市政府,私立瑋翰文理短期補習班,82052,ndbt123@yahoo.com.tw,文理類,三峽區,1993-09-23,2780
新北市政府,私立諾貝爾珠心算語文文理短期補習班,96177,,商類：珠算、心算、會計,三峽區,2007-10-17,2780
新北市政府,私立胡老師文理語文短期補習班,94050,,文理類,三峽區,2005-04-15,2780
新北市政府,私立真成語文文理短期補習班 ,96162,,文理類,三峽區,2007-10-31,2780
新北市政府,私立全恩語文短期補習班,105020,,外語類,三峽區,2016-03-25,2780
新北市政府,私立元僑文理短期補習班,93138,,文理類,三峽區,2004-06-01,2780
新北市政府,私立五色鳥畫室美術短期補習班,100144,vcolorbird@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,三峽區,2011-09-23,2780
新北市政府,私立鍾老師珠心算短期補習班,92303,,商類：珠算、心算、會計,三峽區,2003-11-25,2780
新北市政府,私立何嘉仁文教事業股份有限公司附設佳宜文理短期補習班,111047,,文理類,三峽區,2022-07-14,2780
新北市政府,私立QQ文理短期補習班,93134,p3875325@yahoo.com.tw,文理類,三峽區,2004-05-11,2780
新北市政府,私立琳達英文文理短期補習班,111038,,文理類,三峽區,2022-05-13,2780
新北市政府,私立元鑫文理短期補習班,93060,,文理類,三峽區,2004-03-26,2780
新北市政府,私立勤勝文理短期補習班,110069,,文理類,三峽區,2021-09-06,2780
新北市政府,私立壹壹壹文理電腦短期補習班,105109,111000kids@gmail.com,文理類,三峽區,2016-11-17,2780
新北市政府,私立蕎輔文理珠心算短期補習班,94021,,文理類,三峽區,2005-03-18,2780
新北市政府,私立晨曲音樂技藝短期補習班,110087,,音樂、舞蹈類,三峽區,2021-10-27,2780
新北市政府,私立瑤美語文短期補習班,92035,,外語類,三峽區,2003-01-29,2780
新北市政府,私立豐盛文理短期補習班,100142,d369an@yahoo.com.tw,文理類,三峽區,2011-09-23,2780
新北市政府,私立韋達語文文理短期補習班,99027,,文理類,三峽區,2010-02-23,2780
新北市政府,私立台灣知識庫股份有限公司三峽分公司附設數位學堂北大文理短期補習班,100042,,文理類,三峽區,2011-04-11,2780
新北市政府,私立高點教育科技股份有限公司附設高上文理法商短期補習班,99124,,文理類,三峽區,2010-08-09,2780
