地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
宜蘭縣政府,私立玟軒文理短期補習班,,,文理類,三星鄉,2001-09-19,300
宜蘭縣政府,私立新球美語短期補習班,,,外語類,三星鄉,2008-08-08,300
宜蘭縣政府,私立上將文理短期補習班,,,文理類,三星鄉,2010-08-26,300
宜蘭縣政府,私立伯格文理短期補習班,,,文理類,三星鄉,2012-10-15,300
宜蘭縣政府,私立展青科學教育文理短期補習班五結分班,,g120093357@gmail.com,文理類,五結鄉,2007-06-12,300
宜蘭縣政府,私立鼎升美語文理短期補習班,,blair1242@gmail.com,文理類,五結鄉,2017-06-28,300
宜蘭縣政府,私立想想學坊文理短期補習班,,meei.su@gmail.com,文理類,五結鄉,2003-11-11,300
宜蘭縣政府,私立育橋文理短期補習班,,rsj803@yahoo.com.tw,文理類,五結鄉,2010-07-26,300
宜蘭縣政府,私立貝律文理短期補習班,,,文理類,五結鄉,2011-08-03,300
宜蘭縣政府,私立家恩美語短期補習班,,,外語類,五結鄉,2006-08-02,300
宜蘭縣政府,私立奇妙文理短期補習班,,,文理類,五結鄉,2006-03-29,300
宜蘭縣政府,私立育可佳文理短期補習班,,,文理類,五結鄉,2006-05-09,300
宜蘭縣政府,私立周老師文理短期補習班,,,文理類,五結鄉,2010-11-26,300
宜蘭縣政府,私立美地文理短期補習班,,,文理類,五結鄉,2012-04-24,300
宜蘭縣政府,私立楊平文理短期補習班,,yung0374@gmail.com,文理類,五結鄉,2013-02-25,300
宜蘭縣政府,私立立陽文理短期補習班,,stacey904837@gmail.com,文理類,五結鄉,1999-10-29,300
宜蘭縣政府,私立采藝舞蹈短期補習班,,,音樂、舞蹈類,五結鄉,1983-03-05,300
宜蘭縣政府,私立長勝珠心算文理短期補習班,,,文理類,五結鄉,2006-07-05,300
宜蘭縣政府,私立宇宙泡泡才藝短期補習班,,,美術、書法、攝影、美工設計、圍棋類,冬山鄉,2021-09-13,300
宜蘭縣政府,私立喬治亞文理短期補習班,,,文理類,冬山鄉,2016-08-03,300
宜蘭縣政府,私立蘇老師文理短期補習班,,,文理類,冬山鄉,2001-05-21,300
宜蘭縣政府,私立狀元吉第文理短期補習班,,jang9511104@yahoo.com.tw,文理類,冬山鄉,2004-10-15,300
宜蘭縣政府,私立東華文理短期補習班,,jane6131@hotmail.com,文理類,冬山鄉,2002-08-21,300
宜蘭縣政府,私立春天音樂技藝短期補習班,,,音樂、舞蹈類,冬山鄉,2021-02-23,300
宜蘭縣政府,私立小荳苗文理短期補習班,,,文理類,冬山鄉,1999-06-05,300
宜蘭縣政府,私立佰科文理短期補習班,,pompomballl@gmail.com,文理類,冬山鄉,2013-12-17,300
宜蘭縣政府,私立彩云文理短期補習班,,,文理類,冬山鄉,2005-04-22,300
宜蘭縣政府,私立萊恩文理短期補習班,,,文理類,冬山鄉,2005-08-24,300
宜蘭縣政府,私立康軒文理短期補習班,,kansan806@yahoo.com,文理類,冬山鄉,2014-10-08,300
宜蘭縣政府,私立蜜蘋果文理短期補習班,,,文理類,冬山鄉,2006-07-20,300
宜蘭縣政府,私立聚星文理短期補習班,,a0912122836@gmail.com,文理類,員山鄉,2007-12-19,300
宜蘭縣政府,私立全智文理短期補習班,,,文理類,員山鄉,2015-03-26,300
宜蘭縣政府,私立員源圈文理短期補習班,,junolia@gmail.com,文理類,員山鄉,2006-09-04,300
宜蘭縣政府,私立博士文理短期補習班,,b97140097@gmail.com,文理類,員山鄉,2013-10-18,300
宜蘭縣政府,私立傑申文理短期補習班,,,文理類,壯圍鄉,2005-09-21,300
宜蘭縣政府,私立樹田文理短期補習班,,tree3446@yahoo.com.tw,文理類,壯圍鄉,2003-02-25,300
宜蘭縣政府,私立大佑文理短期補習班,,smlin5468@gmail.com,文理類,壯圍鄉,2015-06-29,300
宜蘭縣政府,鼎真文教出版事業有限公司附設私立鼎臻美語文理短期補習班,,edgedonna@gmail.com,文理類,宜蘭市,2010-07-07,300
宜蘭縣政府,私立愛兒村文理短期補習班,,,文理類,宜蘭市,1999-05-07,300
宜蘭縣政府,私立方田文理短期補習班,,,文理類,宜蘭市,2014-09-23,300
宜蘭縣政府,私立勤學社音樂電腦才藝補習班宜蘭分部,,chs668@ms64.hinet.net,資訊類,宜蘭市,2005-05-05,300
宜蘭縣政府,私立李爵英文文理短期補習班,,,文理類,宜蘭市,2015-05-07,300
宜蘭縣政府,東海國際電腦資訊有限公司附設私立大東海法商文理短期補習班,,,法政類,宜蘭市,2012-05-16,300
宜蘭縣政府,智基科技開發股份有限公司附設私立宜蘭志光法商短期補習班,,ilan9367118@gmail.com,文理類,宜蘭市,2010-12-13,300
宜蘭縣政府,私立勤易文理短期補習班,,,文理類,宜蘭市,2010-07-29,300
宜蘭縣政府,私立陳韻如美食烹飪短期補習班,,,家政、插花、烹飪類,宜蘭市,2002-03-26,300
宜蘭縣政府,私立大鳥芝蔴街文理短期補習班,,,文理類,宜蘭市,1992-12-21,300
宜蘭縣政府,私立英格兒美語短期補習班,,exlvicky@yahoo.com.tw,外語類,宜蘭市,2007-07-06,300
宜蘭縣政府,私立小哈佛美語短期補習班,,davidlin649767@gmail.com,文理類,宜蘭市,2000-09-13,300
宜蘭縣政府,私立逗點國語文短期補習班,,,文理類,宜蘭市,2005-02-04,300
宜蘭縣政府,私立鳳翎舞蹈短期補習班,,fengling9324247@gmail.com,音樂、舞蹈類,宜蘭市,1987-07-05,300
宜蘭縣政府,正聿文化有限公司附設私立正聿文理短期補習班,,,文理類,宜蘭市,2018-08-09,300
宜蘭縣政府,私立愛因斯坦文理短期補習班,,dvc039312218@gmail.com,文理類,宜蘭市,2014-08-07,300
宜蘭縣政府,私立嘉文文理短期補習班,,kenlowina@gmail.com,文理類,宜蘭市,2022-07-22,300
宜蘭縣政府,私立佳音語文短期補習班黎明分班,,,外語類,宜蘭市,2002-10-07,300
宜蘭縣政府,私立翰林文理短期補習班,,ares5588@hotmail.com,文理類,宜蘭市,2021-04-13,300
宜蘭縣政府,私立高登日語短期補習班,,,外語類,宜蘭市,1995-12-23,300
宜蘭縣政府,私立田春木高中數學文理短期補習班,,,文理類,宜蘭市,2014-12-23,300
宜蘭縣政府,私立K&amp;B舞蹈世界短期補習班,,,音樂、舞蹈類,宜蘭市,2005-03-18,300
宜蘭縣政府,私立文鼎文理短期補習班,,,文理類,宜蘭市,2011-02-14,300
宜蘭縣政府,私立德明文理短期補習班,,,文理類,宜蘭市,2019-11-15,300
宜蘭縣政府,私立何嘉仁文理短期補習班,,hs2135@hess.com.tw,外語類,宜蘭市,2003-08-22,300
宜蘭縣政府,得勝者文教股份有限公司附屬宜蘭縣私立得勝者文教文理短期補習班,,yilanvictors@gmail.com,文理類,宜蘭市,2017-09-08,300
宜蘭縣政府,私立創意種子語文短期補習班,,,文理類,宜蘭市,2011-07-11,300
宜蘭縣政府,私立喜姆比舞蹈藝想空間技藝短期補習班,,ximubi@gmail.com,音樂、舞蹈類,宜蘭市,2018-10-05,300
宜蘭縣政府,私立聖堡羅語言企管教育短期補習班,,,外語類,宜蘭市,2005-11-23,300
宜蘭縣政府,私立佳音語文短期補習班,,,外語類,宜蘭市,1998-09-15,300
宜蘭縣政府,私立黃主任文理短期補習班,,,文理類,宜蘭市,2005-07-14,300
宜蘭縣政府,私立書帆文理短期補習班,,,文理類,宜蘭市,2016-10-28,300
宜蘭縣政府,私立佑苗文理短期補習班,,,文理類,宜蘭市,2000-09-30,300
宜蘭縣政府,私立語樂英語短期補習班,,,外語類,宜蘭市,2008-07-01,300
宜蘭縣政府,私立學bar文理短期補習班,,learningbar168@gmail.com,文理類,宜蘭市,2018-01-22,300
宜蘭縣政府,真善美文化藝術有限公司附設宜蘭縣私立國際地球村文理短期補習班,,,外語類,宜蘭市,2009-03-17,300
宜蘭縣政府,私立展青科學教育文理短期補習班,,g120093357@gmail.com,文理類,宜蘭市,2001-12-19,300
宜蘭縣政府,私立泰瑞美語短期補習班,,,外語類,宜蘭市,2009-04-06,300
宜蘭縣政府,私立薇琪文理短期補習班,,changyuanwen@yahoo.com.tw,文理類,宜蘭市,2012-06-21,300
宜蘭縣政府,私立倍加文理短期補習班,,candywn@gmail.com,文理類,宜蘭市,2006-02-09,300
宜蘭縣政府,私立陳揚英文文理短期補習班,,clinton0708@yahoo.com.tw,文理類,宜蘭市,2021-10-05,300
宜蘭縣政府,私立貝斯特文理短期補習班,,,文理類,宜蘭市,2005-07-15,300
宜蘭縣政府,私立慶豐文理短期補習班,,,文理類,宜蘭市,2007-07-06,300
宜蘭縣政府,私立宜華土木建築短期補習班,,0918294291may@gmail.com,電機、汽車修護、建築、工藝、製圖類,宜蘭市,2013-02-27,300
宜蘭縣政府,私立建宏文理短期補習班,,kevin88668866@gmail.com,文理類,宜蘭市,2006-04-21,300
宜蘭縣政府,私立浩學文理短期補習班,,,文理類,宜蘭市,2006-12-21,300
宜蘭縣政府,私立超人珠心算短期補習班,,,商類：珠算、心算、會計,宜蘭市,2002-09-10,300
