地區縣市,主管機關文件單位代碼,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
桃園市政府,私立華蓮語文數學技藝文理短期補習班,,youlimay@yahoo.com.tw,文理類,中壢區,2019-02-01,1296
桃園市政府,私立泥禾藝術美術美語短期補習班,,a0922930769@gmail.com,外語類,中壢區,2017-01-17,1296
桃園市政府,私立白馬語文短期補習班,,mica_tseng@yahoo.com.tw,外語類,中壢區,2016-01-30,1296
桃園市政府,私立柏德美語短期補習班,,,外語類,中壢區,2002-07-04,1296
桃園市政府,私立山瀨日語短期補習班,62,yamasetw@gmail.com,外語類,中壢區,1997-03-20,1296
桃園市政府,私立黃秋芳語文短期補習班,,Joy.hi5877@msa.hinet.net,其他類,中壢區,2005-06-03,1296
桃園市政府,私立千千美語短期補習班,,a911213973@yahoo.com.tw,外語類,中壢區,2002-09-09,1296
桃園市政府,私立創思學習文理數學語文短期補習班,,shachima2016@gmail.com,文理類,中壢區,2018-05-23,1296
桃園市政府,新東海國際科技有限公司附設私立大東海法商短期補習班,245,a4227486@yahoo.com.tw,法政類,中壢區,1993-11-26,1296
桃園市政府,私立頂尖資優數學語文文理短期補習班,,shuchen@topmathbest.com.tw,文理類,中壢區,2021-12-14,1296
桃園市政府,私立晴和語文文理短期補習班,,madlyg@hotmail.com,文理類,中壢區,2015-10-21,1296
桃園市政府,巨匠電腦股份有限公司中壢分公司附設私立巨匠電腦短期補習班,361,allen.tsai@pcschool.com.tw,資訊類,中壢區,1997-07-21,1296
桃園市政府,私立洪明升學文理短期補習班,,always.homean@msa.hinet.net,文理類,中壢區,2000-07-06,1296
桃園市政府,私立赫成文理短期補習班,,hc4225500@gmail.com,文理類,中壢區,2021-04-26,1296
桃園市政府,私立昊鼎文理短期補習班,,hsiuhui5691@hotmail.com,文理類,中壢區,2006-01-18,1296
桃園市政府,私立英代語文短期補習班中壢分班,,eva@egl.com.tw,外語類,中壢區,2005-12-15,1296
桃園市政府,私立埼安語文文理短期補習班,,hsingli.mail@hotmail.com,文理類,中壢區,2012-07-05,1296
桃園市政府,私立擊韻音樂短期補習班,,jhongli.meiling@gmail.com,音樂、舞蹈類,中壢區,2000-01-18,1296
桃園市政府,私立國語週報語文短期補習班,,,外語類,中壢區,1996-01-23,1296
桃園市政府,私立三元文理短期補習班,,master1@3dollars.com.tw,文理類,中壢區,2004-06-04,1296
桃園市政府,私立奇想音樂短期補習班,,fantasy.music@msa.hinet.net,音樂、舞蹈類,中壢區,2018-09-25,1296
桃園市政府,私立佳安語文文理數學短期補習班,,BB035@joy.com.tw,文理類,中壢區,2019-10-07,1296
桃園市政府,私立聖堡登英語會話短期補習班,74,summerhs@ms27.hinet.net,外語類,中壢區,1998-12-28,1296
桃園市政府,私立樂禾音樂短期補習班,,g705000@gmail.com,音樂、舞蹈類,中壢區,2008-10-06,1296
桃園市政府,私立華秀文理美語短期補習班,,,文理類,中壢區,2005-09-28,1296
桃園市政府,私立敦煌舞蹈短期補習班,,dance4205920@yahoo.com.tw,音樂、舞蹈類,中壢區,2001-10-29,1296
桃園市政府,私立文傑語文珠算短期補習班,,addwin.wjg@gmail.com,外語類,中壢區,2001-06-20,1296
桃園市政府,私立建智文理美語數學短期補習班,,jian_zhi_168@yahoo.com,文理類,中壢區,1998-11-23,1296
