地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
新竹縣政府,私立上上文理短期補習班,25,,文理類,北埔鄉,1996-03-27,436
新竹縣政府,私立史努比文理短期補習班,146,male2895@yahoo.com.tw,文理類,北埔鄉,2005-10-14,436
新竹縣政府,新竹縣私立展翅文理短期補習班,518,jackwchsu@gmail.com,文理類,寶山鄉,2019-04-03,436
新竹縣政府,新竹縣私立迪親堡文理短期補習班,368,,文理類,寶山鄉,2013-05-21,436
新竹縣政府,新竹縣私立小熊文理短期補習班,570,,文理類,寶山鄉,2020-09-08,436
新竹縣政府,新竹縣私立小太陽文理美語短期補習班,300,lovepien@hotmail.com,文理類,寶山鄉,2010-11-18,436
新竹縣政府,私立寶源文理短期補習班,196,,文理類,寶山鄉,2007-09-13,436
新竹縣政府,新竹縣私立興盛短期補習班中正分班,484,,文理類,新埔鎮,2017-12-05,436
新竹縣政府,新竹縣私立立鴻文理短期補習班,253,,文理類,新埔鎮,2009-09-22,436
新竹縣政府,私立正揚文理短期補習班,24,fankymco1211@gmail.com,文理類,新埔鎮,1995-08-25,436
新竹縣政府,私立貝爾實驗美語會話短期補習班,21,bells_school@yahoo.com,外語類,新埔鎮,1995-01-16,436
新竹縣政府,新竹縣芮蒂文理短期補習班,301,,文理類,新埔鎮,2010-12-06,436
新竹縣政府,私立新樺文理短期補習班,206,,文理類,新埔鎮,2008-01-09,436
新竹縣政府,新竹縣私立興盛文理才藝短期補習班,243,,文理類,新埔鎮,2009-05-14,436
新竹縣政府,新竹縣私立邱傅老師文理短期補習班,295,,文理類,新埔鎮,2010-09-17,436
新竹縣政府,新竹縣私立艾力克文理才藝短期補習班,385,alec_fabric@yahoo.com.tw,文理類,新豐鄉,2013-11-26,436
新竹縣政府,新竹縣私立天籟文理技藝短期補習班,310,,文理類,新豐鄉,2011-03-28,436
新竹縣政府,私立米芝霓美語會話短期補習班,130,sandy94210@gmail.com,外語類,新豐鄉,2004-12-31,436
新竹縣政府,新竹縣私立喬治亞文理短期補習班,333,,文理類,湖口鄉,2012-05-22,436
新竹縣政府,新竹縣私立冠昱文理短期補習班,358,markvin201314@gmail.com,文理類,湖口鄉,2012-12-28,436
新竹縣政府,私立香香舞蹈短期補習班,5,,音樂、舞蹈類,湖口鄉,1986-02-15,436
新竹縣政府,新竹縣私立弘承文理短期補習班,371,nikky1367@kimo.com,文理類,湖口鄉,2013-06-03,436
新竹縣政府,私立波特美語會話短期補習班,135,,外語類,湖口鄉,2005-06-21,436
新竹縣政府,新竹縣私立文華文理短期補習班,111,,外語類,湖口鄉,2004-06-01,436
新竹縣政府,亮語文創教育有限公司附設新竹縣私立亮語文創作坊文理短期補習班,379,,文理類,竹北市,2013-10-14,436
新竹縣政府,新竹縣私立丰采美術才藝短期補習班,401,,美術、書法、攝影、美工設計、圍棋類,竹北市,2014-06-23,436
新竹縣政府,希格瑪文教事業股份有限公司附設新竹縣私立希格瑪8號文理短期補習班,463,,文理類,竹北市,2017-03-21,436
新竹縣政府,新竹縣私立艾維尼文理短期補習班,178,tien0312@gmail.com,文理類,竹北市,2007-02-08,436
新竹縣政府,私立予恩文理短期補習班,251,shane.hc4@gmail.com,外語類,竹北市,2009-08-13,436
新竹縣政府,新竹縣私立傑瑞米短期補習班,393,lauren19940412@gmail.com,文理類,竹北市,2014-03-14,436
新竹縣政府,新竹縣私立楊真文理短期補習班,250,,文理類,竹北市,2009-08-13,436
新竹縣政府,新竹縣私立海茵美語文理技藝短期補習班,168,,外語類,竹北市,2006-08-07,436
新竹縣政府,私立金城文理短期補習班,138,cambridge302681@gmail.com,文理類,竹北市,2005-06-29,436
新竹縣政府,新竹縣私立光明文理短期補習班,378,min5589696@gmail.com,文理類,竹北市,2013-10-14,436
新竹縣政府,新竹縣私立妮可文理短期補習班,372,,文理類,竹北市,2013-06-13,436
新竹縣政府,新竹縣私立郁辰文理短期補習班,348,,文理類,竹北市,2012-09-03,436
新竹縣政府,新竹縣私立諄品美語短期補習班,433,edustaffone@gmail.com,外語類,竹北市,2015-09-10,436
新竹縣政府,新竹縣私立提恩美語文理技藝短期補習班,441,strongvv@gmail.com,文理類,竹北市,2016-03-11,436
新竹縣政府,新竹縣私立東昇文理短期補習班,506,ts6688322@gmail.com,文理類,竹北市,2018-09-26,436
新竹縣政府,新竹縣私立思學文理短期補習班,461,yitang0425@gmail.com,文理類,竹北市,2017-02-18,436
新竹縣政府,新竹縣私立勁棋文教事業有限公司附設新竹縣私立勁棋文理短期補習班,548,DX147@meikoschool.com.tw,文理類,竹北市,2020-02-17,436
新竹縣政府,新竹縣私立育英文理短期補習班,434,,文理類,竹北市,2015-09-08,436
新竹縣政府,新竹縣私立任得文理短期補習班,412,,文理類,竹北市,2014-11-07,436
新竹縣政府,星康國際有限公司附設新竹縣私立康乃薾美語短期補習班,227,timt_tu@starkorrnell.org,外語類,竹北市,2008-09-09,436
新竹縣政府,新竹縣私立竹辰文理技藝短期補習班,526,,外語類,竹北市,2019-06-11,436
新竹縣政府,新竹縣私立上靖文理短期補習班,538,,文理類,竹北市,2019-09-24,436
新竹縣政府,新竹縣私立藝果美語短期補習班,382,,文理類,竹北市,2013-11-13,436
新竹縣政府,新竹縣私立部落森數位文創有限公司附設新竹縣私立新北聯文教文理短期補習班,545,,文理類,竹北市,2019-12-25,436
新竹縣政府,小小科學家教育事業股份有限公司附設新竹縣私立育仁文理短期補習班,490,,文理類,竹北市,2018-03-12,436
新竹縣政府,私立立得文理短期補習班,232,giraffempm@gmail.com,文理類,竹北市,2008-12-08,436
新竹縣政府,新竹縣私立翰銳藝術短期補習班,380,,美術、書法、攝影、美工設計、圍棋類,竹北市,2013-11-06,436
新竹縣政府,新竹縣私立博士府文理短期補習班,303,drhouse5504547@yahoo.com.tw,文理類,竹北市,2011-01-10,436
新竹縣政府,新竹縣私立勁權文教事業有限公司附設新竹縣私立勁權文理短期補習班,547,cg91@meikoschool.com.tw,文理類,竹北市,2020-02-17,436
新竹縣政府,新竹縣私立光點學學文理短期補習班,381,,外語類,竹北市,2013-11-07,436
新竹縣政府,新竹縣私立小瓏英語短期補習班,384,cloudece91g@yahoo.com.tw,外語類,竹北市,2013-11-27,436
新竹縣政府,新竹縣私立聯合文理短期補習班成功分班,389,,文理類,竹北市,2013-12-16,436
新竹縣政府,極上教育諮詢股份有限公司附設新竹縣私立成拓文理短期補習班,369,pearlhung8@gmail.com,文理類,竹北市,2013-05-22,436
新竹縣政府,新竹縣私立凱狄文理短期補習班。,485,,外語類,竹北市,2017-12-08,436
新竹縣政府,新竹縣私立孜縈英文短期補習班,544,,外語類,竹北市,2019-12-10,436
新竹縣政府,新竹縣私立林立文理短期補習班,377,,文理類,竹北市,2013-09-25,436
新竹縣政府,新竹縣私立范老師才藝短期補習班,132,,商類：珠算、心算、會計,竹北市,2005-06-02,436
新竹縣政府,網路地球村語文資訊有限公司竹北分公司附設新竹縣私立地球村語文短期補習班,246,,外語類,竹北市,2009-06-10,436
新竹縣政府,新竹縣私立小小的美術才藝短期補習班,492,,美術、書法、攝影、美工設計、圍棋類,竹北市,2018-03-28,436
新竹縣政府,新竹縣私立嘉德琳文理短期補習班,427,,外語類,竹北市,2015-07-16,436
新竹縣政府,新竹縣私立知欣文理短期補習班興隆分班,363,,文理類,竹北市,2013-05-27,436
新竹縣政府,私立童園語文短期補習班,98,kidsgarden@hotmail.com,外語類,竹北市,2003-08-13,436
新竹縣政府,新竹縣私立光明珠心算文理短期補習班,335,,文理類,竹北市,2012-06-06,436
新竹縣政府,新竹縣私立黃羽文理短期補習班,546,,文理類,竹北市,2019-12-25,436
新竹縣政府,新竹縣私立朵瑞絲文理短期補習班,560,,文理類,竹北市,2020-04-14,436
新竹縣政府,極上教育諮詢股份有限公司附設新竹縣私立劉欣英文邱天數理莊敬文理短期補習班,376,pearlhung8@gmail.com,文理類,竹北市,2013-07-24,436
新竹縣政府,私立橡樹語文短期補習班,133,,外語類,竹北市,2005-06-09,436
新竹縣政府,新竹縣私立劍橋文理短期補習班,318,,文理類,竹東鎮,2011-08-10,436
新竹縣政府,新竹縣私立快樂學文理短期補習班,140,,外語類,竹東鎮,2005-07-01,436
新竹縣政府,新竹縣私立英橋文理短期補習班,390,,文理類,竹東鎮,2013-11-15,436
新竹縣政府,新竹縣私立幸福文理短期補習班,298,ting51010891,文理類,竹東鎮,2010-11-02,436
新竹縣政府,新竹縣私立竹東佳音英語短期補習班,357,joy_judung@seed.net.tw,外語類,竹東鎮,2012-12-27,436
新竹縣政府,私立傅老師美語東寧分校短期補習班,192,,外語類,竹東鎮,2007-07-18,436
新竹縣政府,新竹縣私立夢想家文理短期補習班,386,,文理類,竹東鎮,2013-11-29,436
新竹縣政府,新竹縣私立上聯文理短期補習班,136,zebra511057@north-union.com.tw,文理類,竹東鎮,2005-06-22,436
新竹縣政府,私立佳仁美語才藝短期補習班,14,,外語類,關西鎮,1993-03-05,436
新竹縣政府,私立小巨人文理短期補習班,28,,文理類,新豐鄉,1996-11-27,436
新竹縣政府,新竹縣私立朗恩文理短期補習班,285,hc5shane@gmail.com,文理類,新豐鄉,2010-06-28,436
新竹縣政府,極上教育諮詢股份有限公司附設新竹縣私立劉欣英文邱天數理光明文理短期補習班,270,pearlhung8@gmail.com,文理類,新豐鄉,2010-02-24,436
新竹縣政府,私立學府美語短期補習班,159,,文理類,新豐鄉,2006-02-08,436
新竹縣政府,新竹縣私立亞格文理短期補習班,287,,文理類,新豐鄉,2010-07-20,436
新竹縣政府,新竹縣私立愛丁堡文理才藝短期補習班,157,edinburghtw@yahoo.com.tw,外語類,新豐鄉,2005-11-21,436
新竹縣政府,私立名師文理短期補習班,197,,文理類,新豐鄉,2007-09-13,436
新竹縣政府,新竹縣私立樂惟文理短期補習班,615,,文理類,新豐鄉,2022-06-02,436
新竹縣政府,極上教育諮詢股份有限公司附設新竹縣私立劉欣英文邱天數理山崎文理短期補習班,483,pearlhung8@gmail.com,文理類,新豐鄉,2017-11-16,436
新竹縣政府,新竹縣私立富田文理短期補習班,426,,文理類,新豐鄉,2015-07-16,436
新竹縣政府,新竹縣私立音樂樹才藝短期補習班,435,,音樂、舞蹈類,新豐鄉,2015-09-09,436
新竹縣政府,新竹縣私立豐朗文理技藝短期補習班,605,,文理類,新豐鄉,2021-12-29,436
新竹縣政府,私立龍寶貝文理短期補習班,57,j5680329@yahoo.com.tw,商類：珠算、心算、會計,新豐鄉,2000-10-20,436
新竹縣政府,新竹縣私立牛津文理短期補習班,533,,文理類,新豐鄉,2019-08-21,436
新竹縣政府,新竹縣私立新向文理短期補習班,525,,文理類,新豐鄉,2019-06-10,436
新竹縣政府,私立學仕家美語短期補習班,241,,外語類,新豐鄉,2009-03-06,436
新竹縣政府,新竹縣私立愛丁堡文理才藝短期補習班忠孝分班,607,edinburghtw@yahoo.com.tw,文理類,新豐鄉,2022-01-14,436
新竹縣政府,新竹縣私立張易文理短期補習班,391,,文理類,新豐鄉,2013-12-26,436
新竹縣政府,新竹縣私立王老師家教中心短期補習班,42,n121tw@yahoo.com.tw,外語類,新豐鄉,1998-11-26,436
新竹縣政府,極上教育諮詢股份有限公司附設新竹縣私立豐拓文理短期補習班,79,pearlhung8@gmail.com,文理類,新豐鄉,2002-06-20,436
新竹縣政府,極上教育諮詢股份有限公司附設新竹縣私立劉欣英文邱天數理忠孝文理短期補習班,266,pearlhung8@gmail.com,文理類,新豐鄉,2010-01-15,436
新竹縣政府,私立長青樹文理短期補習班,199,,文理類,新豐鄉,2007-10-15,436
新竹縣政府,新竹縣私立種籽文理短期補習班,585,,文理類,新豐鄉,2021-05-17,436
新竹縣政府,新竹縣私立紐約文理技藝短期補習班,418,,文理類,新豐鄉,2015-01-13,436
新竹縣政府,新竹縣私立神鵰俠侶文理短期補習班,406,,文理類,新豐鄉,2014-08-12,436
新竹縣政府,極上教育諮詢股份有限公司附設新竹縣私立劉欣英文邱天數理松林文理短期補習班,271,pearlhung8@gmail.com,文理類,新豐鄉,2010-03-05,436
新竹縣政府,新竹縣私立古佳右文理技藝短期補習班,92,,外語類,新豐鄉,2003-01-21,436
新竹縣政府,新竹縣私立小狀元美語短期補習班,56,,外語類,新豐鄉,2000-07-20,436
新竹縣政府,私立文聖文理短期補習班,149,wilson77tw@yahoo.com.tw,文理類,新豐鄉,2005-11-21,436
新竹縣政府,新竹縣私立佳禾文理短期補習班,261,coco5937098@yahoo.com.tw,文理類,橫山鄉,2009-12-14,436
新竹縣政府,新竹縣私立育成文理短期補習班,578,,文理類,橫山鄉,2021-02-02,436
新竹縣政府,新竹縣私立蓉慧文理短期補習班,610,min19961004@gmail.com,文理類,湖口鄉,2022-03-18,436
新竹縣政府,新竹縣私立臥虎藏龍文理短期補習班,465,,文理類,湖口鄉,2017-04-17,436
新竹縣政府,新竹縣私立程宇文理短期補習班,407,,文理類,湖口鄉,2014-08-14,436
新竹縣政府,新竹縣私立學勝文理短期補習班,519,,文理類,湖口鄉,2019-04-08,436
新竹縣政府,新竹縣私立傑文文理短期補習班,277,giraffe35065@yahoo.com.tw,文理類,湖口鄉,2010-03-23,436
新竹縣政府,私立頂尖美語會話短期補習班,12,,外語類,湖口鄉,1993-01-19,436
新竹縣政府,私立芝麻美語短期補習班,170,,外語類,湖口鄉,2006-09-01,436
新竹縣政府,新竹縣私立奧斯卡文理短期補習班,399,webber1216@hotmail.com,文理類,湖口鄉,2014-06-10,436
新竹縣政府,新竹縣私立教育家文理短期補習班,320,kiki168123@yahoo.com.tw,文理類,湖口鄉,2011-09-27,436
新竹縣政府,新竹縣私立育青文理短期補習班,367,tiner590320@gmail.com.tw,文理類,湖口鄉,2013-05-14,436
新竹縣政府,私立中央舞蹈短期補習班,23,,音樂、舞蹈類,湖口鄉,1995-08-12,436
