地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
新竹市政府,新竹市私立立文文理短期補習班,文664號(換),,文理類,北區,2009-03-05,440
新竹市政府,琴絃社音樂有限公司附設新竹市私立琴絃社音樂短期補習班,文894號(換),100/09/21 申請設立,音樂、舞蹈類,東區,2011-10-21,440
新竹市政府,新竹市私立孟德爾頌音樂藝術技藝短期補習班,文981號,,音樂、舞蹈類,東區,2016-06-21,440
新竹市政府,新竹市私立亞霏美術技藝短期補習班,文1170號,yafeiart.hc@gmail.com,家政、插花、烹飪類,東區,2019-08-26,440
新竹市政府,新竹市私立程鋒文理短期補習班,,,文理類,東區,2006-01-20,440
新竹市政府,新竹市私立嘉德琳世傑文理短期補習班,文1283號 (換),cadalin.cramschool@gmail.com,文理類,北區,2015-01-21,440
新竹市政府,新竹市私立親仁文理短期補習班,文805號,rosita.fu1122@gmail.com,文理類,北區,2012-11-29,440
新竹市政府,新竹市私立道格拉斯美語短期補習班,文674號,abcenglish@twhotmail com,外語類,北區,2010-12-15,440
新竹市政府,新竹市私立中和英語短期補習班,文105號,chunghocramshcool@gmail.com,外語類,北區,1997-09-23,440
新竹市政府,新竹市私立文昌文理短期補習班,文35,,文理類,東區,1990-06-15,440
新竹市政府,新竹市私立冠偉文理短期補習班,文1013,jason81709@gmail.com,文理類,東區,2017-01-04,440
新竹市政府,新竹市私立李安貳號文理短期補習班,文716號/文1030(換),100/06/20 申設,文理類,東區,2011-07-27,440
新竹市政府,新竹市私立德恩美日語中央分校短期補習班,文二四四號,dnjapan@ms75.hinet.net,外語類,東區,2003-12-15,440
新竹市政府,新竹市私立學園英語短期補習班,文415號(換),sheiyuan@ms63.hinet.net,文理類,東區,1998-05-11,440
新竹市政府,新竹市私立竹嘉建嘉文理技藝短期補習班,文1356號(換),chu.jai@msa.hinet.net,文理類,香山區,2000-06-12,440
新竹市政府,新竹市私立有玉音樂短期補習班,文449號,,音樂、舞蹈類,香山區,2007-04-18,440
新竹市政府,新竹市私立妍田語文短期補習班,文746號,yt5223506@gmail.com,文理類,香山區,2012-02-16,440
