地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
台南市政府,臺南市私立諾貝爾英文短期補習班,74822213,,外語類,七股區,1999-01-25,1416
台南市政府,臺南市私立明和文理短期補習班,97969666,,文理類,下營區,1997-04-02,1416
台南市政府,臺南市私立培育文理短期補習班,17947043,,外語類,下營區,2001-11-01,1416
台南市政府,臺南市私立新資優學園文理短期補習班,74800267,,文理類,下營區,1998-08-19,1416
台南市政府,臺南市私立中營文理短期補習班,13278725,hsaiochen100213053@gmail.com,文理類,下營區,2001-04-16,1416
台南市政府,臺南市私立文研美語短期補習班,62969520,davidchaing54@yahoo.com.tw,外語類,下營區,2006-07-09,1416
台南市政府,臺南市私立翰昇文理短期補習班,36772178,,文理類,下營區,2005-02-17,1416
台南市政府,臺南市私立席捲文理短期補習班,25866640,,文理類,下營區,2010-01-19,1416
台南市政府,臺南市私立凱悅文理短期補習班,62935472,,文理類,下營區,1996-07-07,1416
台南市政府,臺南市私立小天使美術音樂短期補習班,,,音樂、舞蹈類,下營區,1989-08-14,1416
台南市政府,高點數位科技股份有限公司附設臺南市私立高點文理短期補習班,,cactus@mail.get.com.tw,文理類,中西區,2010-10-18,1416
台南市政府,臺南市私立新達文理短期補習班,80915771,,文理類,中西區,2003-01-17,1416
台南市政府,臺南市私立偉文文理短期補習班,40914543,tainanwaywin@gmail.com,文理類,中西區,2015-06-05,1416
台南市政府,高點教育科技股份有限公司附設臺南市私立高點文理短期補習班,36856182,cactus@mail.get.com.tw,文理類,中西區,2011-12-06,1416
台南市政府,臺南市私立育民文法商文理短期補習班,26417663,,文理類,中西區,2010-04-19,1416
台南市政府,志光教育科技股份有限公司附設臺南市私立志光法商短期補習班,393,,商類：珠算、心算、會計,中西區,1979-07-19,1416
台南市政府,臺南市私立戴爾英文短期補習班,,tainan@all-english.com.tw,外語類,中西區,2006-03-06,1416
台南市政府,臺南市私立三元文理短期補習班,87887455,,文理類,中西區,2001-06-15,1416
台南市政府,華聲文教事業有限公司附設臺南市私立華聲圍棋短期補習班,,wha.sheng@msa.hinet.net,美術、書法、攝影、美工設計、圍棋類,中西區,2004-07-21,1416
