地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
高雄市政府,私立求精外語短期補習班,3,yyliu@oxford.com.tw,外語類,三民區,1970-09-03,1871
高雄市政府,私立捷勝文理短期補習班站前分班,269,無,文理類,三民區,1998-01-02,1871
高雄市政府,私立永進文理短期補習班,1390,,文理類,三民區,2009-09-16,1871
高雄市政府,私立北訓電腦短期補習班 ,41,chou168168@icloud.com,資訊類,三民區,1998-10-28,1871
高雄市政府,私立雄大電機技能短期補習班,19,shoumei33@yahoo.com,電機、汽車修護、建築、工藝、製圖類,三民區,1995-08-29,1871
高雄市政府,吉的堡網路科技股份有限公司附設吉的堡文理短期補習班光武分班,1666,daphne.d0523@gmail.com,文理類,三民區,2013-11-18,1871
高雄市政府,私立愛因斯坦文理短期補習班,1392,win0804@kimo.com,文理類,三民區,2009-09-14,1871
高雄市政府,私立藝術森林音樂文理技藝短期補習班,49,,音樂、舞蹈類,三民區,1999-11-24,1871
高雄市政府,私立高名文理短期補習班東光分班,1109,ka3858668@gmail.com,文理類,三民區,2006-06-06,1871
高雄市政府,私立軒宇文理短期補習班,971,op168226@gmail.com,文理類,三民區,2005-06-22,1871
高雄市政府,私立維特小子文理技藝短期補習班,1263,witkids@gmail.com,文理類,三民區,2008-02-25,1871
高雄市政府,私立高名文理短期補習班民族分班,1181,kao_mingtsu@yahoo.com.tw,文理類,三民區,2007-04-14,1871
高雄市政府,私立育祥外語電腦短期補習班,592,ken612176@gmail.com,外語類,三民區,2002-04-08,1871
高雄市政府,私立吳敏男文理短期補習班,1416,wumn108@gmail.com,文理類,三民區,2010-03-10,1871
高雄市政府,私立宏南升學文理短期補習班,305,ozsonlkk@yahoo.com.tw,文理類,三民區,1998-12-03,1871
高雄市政府,奧林匹克文化事業股份有限公司附設奧林匹克文理短期補習班高雄分班,1568,toptop177@gmail.com,文理類,三民區,2012-02-15,1871
高雄市政府,私立奇恩文理短期補習班 ,186,shenqshyue@yahoo.com.tw,文理類,三民區,1996-08-05,1871
高雄市政府,私立奇恩文理技藝短期補習班,1443,shenqshyue@yahoo.com.tw,文理類,三民區,1995-08-09,1871
高雄市政府,私立新世代文理短期補習班,895,bd062.joy@gmail.com,文理類,三民區,2004-10-21,1871
高雄市政府,私立葛蕾娜電腦語文短期補習班,831,joy.shihcyuan@gmail.com,外語類,三民區,1999-05-15,1871
高雄市政府,私立全球通文理短期補習班,1573,amc3135533@gmail.com,文理類,三民區,2004-06-17,1871
高雄市政府,私立辰光文理短期補習班,1861,a0606083@ms18.hinet.net,文理類,三民區,1989-09-26,1871
高雄市政府,私立成大文理短期補習班十全分班,507,無,文理類,三民區,2001-07-17,1871
高雄市政府,私立嗄恩文理短期補習班,1412,,文理類,三民區,2010-01-19,1871
高雄市政府,私立向上文理短期補習班,1597,linghua@hotmail.com.tw,文理類,三民區,2012-07-23,1871
高雄市政府,私立奇勤音樂短期補習班,45,kaohsiung_gu_ka@yahoo.com.tw,音樂、舞蹈類,三民區,1998-10-27,1871
高雄市政府,私立小塔克文理短期補習班,2086,mable1221@gmail.com,文理類,三民區,2021-08-18,1871
高雄市政府,私立聖馨文理短期補習班,386,venus.moon@msa.hinet.net,文理類,三民區,1999-04-26,1871
高雄市政府,私立英僑倫文理技藝短期補習班,894,vipcarolkimo@yahoo.com.tw,文理類,三民區,2004-10-15,1871
高雄市政府,私立華鴻文理短期補習班,1827,oscar19960613@gmail.com,文理類,三民區,2016-11-04,1871
高雄市政府,私立威德文理短期補習班,1277,,文理類,三民區,2008-03-21,1871
高雄市政府,私立新超群資訊文理短期補習班,192,t3985529@gmail.com,文理類,三民區,1996-09-04,1871
高雄市政府,私立優世代文理技藝短期補習班,1900  (49 K),ustarmail54@gmail.com,文理類,三民區,2005-05-09,1871
高雄市政府,私立凱媞文理技藝短期補習班,1425,ez2candy@yahoo.com.tw,文理類,三民區,2010-04-09,1871
