地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
嘉義市政府,嘉義市私立力新文理短期補習班,,,文理類,東區,2004-03-22,290
嘉義市政府,嘉義市私立高元文理短期補習班,,nomo72319@yahoo.com.tw,文理類,東區,2003-07-07,290
嘉義市政府,高點教育科技股份有限公司附設嘉義市私立高點文理短期補習班,,yiyi0411@mail.get.com.tw,文理類,東區,2012-10-09,290
嘉義市政府,嘉義市私立建華文理短期補習班,,,外語類,東區,2006-09-05,290
嘉義市政府,嘉義市私立國航文理短期補習班,b181,wk2366975@yahoo.com.tw,外語類,東區,2000-12-26,290
嘉義市政府,嘉義市私立學進文理短期補習班,a192,chc223366@gmail.com,文理類,西區,2002-04-15,290
嘉義市政府,嘉義市私立首席創藝技藝短期補習班,,ashin730113@yahoo.com.tw,音樂、舞蹈類,西區,2012-05-22,290
嘉義市政府,嘉義市私立駿驜文理短期補習班,,,文理類,西區,2021-06-08,290
嘉義市政府,嘉義市私立快雪時晴文理短期補習班,,s919349@gmail.com,文理類,西區,2019-01-10,290
嘉義市政府,嘉義市私立偉文文理短期補習班,,win2229090@gmail.com,文理類,西區,2018-03-16,290
嘉義市政府,嘉義市私立心教育文理短期補習班,,xjy2288698@gmail.com,文理類,西區,2022-03-15,290
嘉義市政府,嘉義市私立沛樂多文理技藝短期補習班,,daphnechang1022@gmail.com,外語類,西區,2021-06-18,290
嘉義市政府,嘉義市私立儒林文理短期補習班,,,文理類,西區,2005-06-07,290
嘉義市政府,李揚教育股份有限公司附設嘉義市私立識學文理短期補習班,,ly2283990@yahoo.com.tw,文理類,西區,2011-03-29,290
嘉義市政府,嘉義市私立宏黌文理短期補習班,,,文理類,西區,2007-01-08,290
嘉義市政府,嘉義市私立澄果文理短期補習班,,utopianenglish2018@gmail.com,文理類,西區,2019-01-17,290
嘉義市政府,嘉義市私立曼斯特技藝短期補習班,,,音樂、舞蹈類,西區,2015-09-30,290
嘉義市政府,嘉義市私立嘉育達文理短期補習班,a166,visionj1@twowin.com.tw,文理類,西區,2000-10-03,290
