地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
嘉義縣政府,私立洋洋文理短期補習班,,,文理類,中埔鄉,2008-05-20,199
嘉義縣政府,私立新時代技藝短期補習班,a110,b0920725526@gmail.com,商類：珠算、心算、會計,中埔鄉,2001-06-04,199
嘉義縣政府,私立和星文理短期補習班,,,文理類,中埔鄉,2008-07-23,199
嘉義縣政府,私立向日葵語文短期補習班,,,外語類,中埔鄉,2006-02-15,199
嘉義縣政府,嘉義縣私立湯姆士文理短期補習班,,,文理類,中埔鄉,2015-02-06,199
嘉義縣政府,私立非凡文理短期補習班,,mrkg@mail.cyc.edu.tw,文理類,中埔鄉,2007-12-06,199
嘉義縣政府,嘉義縣私立蘇老師文理短期補習班,,suesue.peter@gmail.com,文理類,中埔鄉,2012-11-06,199
嘉義縣政府,私立全美文理短期補習班,,ping60528@yahoo.com.tw,文理類,中埔鄉,2006-02-09,199
嘉義縣政府,嘉義縣私立鐘老師文理短期補習班,a075,,商類：珠算、心算、會計,中埔鄉,1999-12-04,199
嘉義縣政府,私立喜學園文理短期補習班,a125,,文理類,中埔鄉,2002-04-22,199
嘉義縣政府,私立明城短期補習班,,,文理類,六腳鄉,2020-07-24,199
嘉義縣政府,私立仁仁語文短期補習班,,,文理類,中埔鄉,2010-04-13,199
嘉義縣政府,私立金典語文短期補習班,,,外語類,中埔鄉,2021-03-17,199
嘉義縣政府,私立育嘉文理短期補習班,,,文理類,中埔鄉,2008-05-30,199
嘉義縣政府,嘉義縣私立至捷文理短期補習班,,chienlin0930@gmail.com,文理類,中埔鄉,2013-12-12,199
嘉義縣政府,私立維妮美術短期補習班,,,美術、書法、攝影、美工設計、圍棋類,中埔鄉,2010-09-07,199
嘉義縣政府,私立格林文理短期補習班,,greenenglish06@gmail.com,文理類,中埔鄉,2006-04-24,199
嘉義縣政府,私立誠楓文理短期補習班,,chengfongschool@gmail.com,文理類,中埔鄉,2005-05-12,199
嘉義縣政府,私立英才文理短期補習班,,,文理類,中埔鄉,2005-10-21,199
嘉義縣政府,私立英美語文短期補習班,,fan0621@kimo.com,外語類,大林鎮,2009-03-27,199
