地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
屏東縣政府,屏東縣私立精英館文理短期補習班,,,文理類,屏東市,2007-10-26,422
屏東縣政府,屏東縣私立美育奧福音樂短期補習班,,,音樂、舞蹈類,屏東市,2011-03-18,422
屏東縣政府,聯晟電腦有限公司附設屏東縣私立聯成電腦短期補習班,,lc13@lccnet.com.tw,資訊類,屏東市,2005-07-01,422
屏東縣政府,屏東縣私立三民文理技藝短期補習班,,enjoylife0800@gmail.com,文理類,屏東市,2016-11-25,422
屏東縣政府,私立戴爾興業有限公司附設戴爾美語短期補習班,,,外語類,屏東市,2013-06-26,422
屏東縣政府,屏東縣私立功學社音樂中心股份有限公司屏東分公司附設中正音樂短期補習班,,chiu7587@khs-music.com.tw,音樂、舞蹈類,屏東市,2007-08-02,422
屏東縣政府,屏東縣私立樂多音樂短期補習班,,,音樂、舞蹈類,屏東市,2018-03-15,422
屏東縣政府,屏東縣私立學賢文理才藝短期補習班,,,文理類,屏東市,2006-07-28,422
屏東縣政府,屏東縣私立學數院文理短期補習班,,,文理類,屏東市,2003-03-10,422
屏東縣政府,屏東縣私立拉博爾美語短期補習班,,,文理類,屏東市,2003-05-16,422
屏東縣政府,屏東縣私立柏思學院文理短期補習班,,a7350666@gmail.com,文理類,屏東市,2022-06-07,422
屏東縣政府,櫻花外語文化有限公司附設屏東縣私立櫻花美日韓語文理短期補習班,,a4443emk@gmail.com,文理類,屏東市,2014-01-23,422
屏東縣政府,屏東縣私立高名文理短期補習班明正分班,,,文理類,屏東市,2014-11-07,422
屏東縣政府,屏東縣私立學思林文理短期補習班,,cei.chen@msa.hinet.net,文理類,屏東市,2004-06-21,422
屏東縣政府,屏東縣私立美加美語短期補習班,a59,,外語類,屏東市,1998-10-07,422
屏東縣政府,屏東縣私立群倫電機短期補習班,,,電機、汽車修護、建築、工藝、製圖類,屏東市,1994-10-06,422
屏東縣政府,屏東縣私立立志文理短期補習班,,s121697009850912@yahoo.com.tw,文理類,屏東市,2021-09-06,422
屏東縣政府,屏東縣私立睿智文理技藝短期補習班信義分班,,a0935961664@gmail.com,文理類,屏東市,2022-05-12,422
