地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
澎湖縣政府,私立朱老師文理短期補習班,,pig696108@yahoo.com.tw,文理類,湖西鄉,2008-10-28,26
澎湖縣政府,私立英語角短期補習班,,,外語類,湖西鄉,2014-01-10,26
澎湖縣政府,私立易說學堂短期補習班,,,外語類,馬公市,2011-10-24,26
澎湖縣政府,私立惠安文理短期補習班,,chanshen0925757217@gmail.com,文理類,馬公市,2005-04-14,26
澎湖縣政府,私立安老師美語短期補習班,1,,外語類,馬公市,1999-08-27,26
澎湖縣政府,私立以馬內利美語短期補習班,2,Mission@ms13.hinet.net,外語類,馬公市,2000-05-03,26
澎湖縣政府,私立威莉文理短期補習班,,,文理類,馬公市,2014-01-20,26
澎湖縣政府,私立愛彌兒短期補習班,,,文理類,馬公市,2021-07-29,26
澎湖縣政府,私立格林文理短期補習班,,,文理類,馬公市,2008-06-12,26
澎湖縣政府,私立明穗珠算美語會話短期補習班,6,,外語類,馬公市,1990-08-22,26
澎湖縣政府,私立樂高短期補習班,,,外語類,馬公市,2009-06-19,26
澎湖縣政府,澎湖縣私立奇瓦笛美語短期補習班,,,外語類,馬公市,1999-12-18,26
澎湖縣政府,私立立德文理短期補習班,,leader.program@gmail.com,文理類,馬公市,2008-06-19,26
澎湖縣政府,私立全方位文理短期補習班,,,文理類,馬公市,2005-10-06,26
澎湖縣政府,私立典典文理短期補習班,,,文理類,馬公市,2021-12-21,26
澎湖縣政府,私立艾妮塔英文短期補習班,,anita19810623@hotmail.com,外語類,馬公市,2021-02-05,26
澎湖縣政府,私立企鵝家族文理短期補習班,,,文理類,馬公市,2022-01-21,26
澎湖縣政府,私立小米菓短期補習班,,,文理類,馬公市,2005-10-06,26
澎湖縣政府,私立龍之堡英語短期補習班,6,,外語類,馬公市,2002-06-06,26
澎湖縣政府,私立成功短期補習班,,hata.huang007@gmail.com,文理類,馬公市,2005-03-18,26
澎湖縣政府,私立金老師美語短期補習班,,,外語類,馬公市,2008-03-07,26
澎湖縣政府,私立小太陽短期補習班,,,外語類,馬公市,2009-10-08,26
澎湖縣政府,私立舒飛美語文理短期補習班,,snoopy9211215@yahoo.com.tw,外語類,馬公市,2015-04-01,26
澎湖縣政府,私立宥朝短期補習班,,,外語類,馬公市,2006-06-09,26
澎湖縣政府,私立皓學文理短期補習班,,anita.ljf@msa.hinet.net,文理類,馬公市,2006-08-04,26
澎湖縣政府,智基科技開發股份有限公司附設私立志光法商文理短期補習班,4,,法政類,馬公市,2000-04-29,26
