地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
台中市政府,私立新實力土木建築短期補習班,,,電機、汽車修護、建築、工藝、製圖類,中區,2008-05-19,2889
台中市政府,臺中市私立勵行法商語文短期補習班,A0269,,法政類,中區,1997-11-28,2889
台中市政府,柏煌管理顧問股份有限公司附設臺中市私立伊美美容文理短期補習班,,emedu@em-edu.com.tw,美容、美髮理髮類,中區,2008-04-10,2889
台中市政府,私立京巧時裝設計裁剪職業短期補習班,A0043,,縫紉類,中區,1988-09-19,2889
台中市政府,私立真真舞蹈短期職業補習班,A0017,,音樂、舞蹈類,中區,1979-10-29,2889
台中市政府,功學社音樂中心股份有限公司台中分公司附設臺中市私立功府音樂短期補習班,,,音樂、舞蹈類,中區,2010-05-12,2889
台中市政府,私立功名文理短期補習班,A0106,,文理類,中區,1994-10-11,2889
台中市政府,臺中市私立成功英日語會話短期職業補習班,A0021,,外語類,中區,1981-11-23,2889
台中市政府,台中市私立幸福外語短期補習私班,,,外語類,中區,2010-02-09,2889
台中市政府,私立考銓文理短期補習班,,h0923264050@5138.com.tw,法政類,中區,2009-03-16,2889
台中市政府,台中市私立九華土木消防短期補習班,A0525,johwabigboss@yahoo.com.tw,電機、汽車修護、建築、工藝、製圖類,中區,2000-06-19,2889
台中市政府,私立新白昕文理短期補習班,,morphinelike2005@yahoo.com.tw,文理類,中區,2007-12-20,2889
台中市政府,私立育文才藝中心,A0623,,其他類,中區,2001-04-19,2889
台中市政府,私立好朋友舞蹈職業短期補習班,A0032,,音樂、舞蹈類,中區,1985-05-02,2889
台中市政府,私立歡樂奇異果文理短期補習班,A0503,,其他類,中區,2000-04-29,2889
台中市政府,大東海開發建設有限公司附設台中市私立大東海法商短期補習班,,,商類：珠算、心算、會計,中區,2007-01-26,2889
台中市政府,臺中市私立美美舞蹈職業短期補習班,A0016,,音樂、舞蹈類,中區,1979-10-03,2889
台中市政府,私立國際珠寶鑑定職業短期補習班,A0069,,家政、插花、烹飪類,中區,1992-12-17,2889
台中市政府,私立盟昌文理電腦短期補習班,A0252,,文理類,北屯區,1997-09-26,2889
台中市政府,臺中市私立台中佳音英語會話短期補習班,A0139,,外語類,東區,1996-01-17,2889
台中市政府,私立小博士文理短期補習班,A0168,,文理類,東區,1996-07-26,2889
台中市政府,私立小豆豆才藝中心,A0389,,其他類,東區,1999-05-20,2889
台中市政府,臺中市私立黃謙設計短期補習班,A0697,,美術、書法、攝影、美工設計、圍棋類,東區,2001-12-13,2889
台中市政府,私立三元文理短期補習班,A0112,,文理類,東區,1995-01-13,2889
台中市政府,臺中市私立法之蝶美容短期補習班,,,美容、美髮理髮類,東區,2006-08-07,2889
台中市政府,私立皓翰文理短期補習班,,,文理類,東區,2000-04-05,2889
台中市政府,私立三山文理短期補習班,,,文理類,東區,2006-04-06,2889
台中市政府,臺中市私立育山文理短期補習班,,,文理類,東區,2008-01-30,2889
台中市政府,臺中市私立不倒翁珠心算速讀短期補習班,A0086,,商類：珠算、心算、會計,東區,1993-08-18,2889
台中市政府,臺中市私立喬伊英語會話短期補習班,,joyjinhua91@gmail.com,外語類,東區,2004-07-21,2889
台中市政府,私立國瓏美語會話短期補習班,A0647,,外語類,東區,2001-07-03,2889
台中市政府,私立嬅欣舞蹈短期補習班,A0468,,音樂、舞蹈類,東區,2000-01-03,2889
台中市政府,臺中市私立嘉倫文理短期補習班,A0717,sk_502@hotmail.com,文理類,東區,2002-01-07,2889
台中市政府,臺中市私立欣岐電腦附設文理短期補習班,A0494,strline88@yahoo.com.tw,文理類,東區,2000-03-21,2889
台中市政府,志光教育科技股份有限公司附設臺中市私立志聖康德文理公職證照短期補習班,,,外語類,東區,2008-12-22,2889
台中市政府,私立彌森特音樂短期補習班,,,音樂、舞蹈類,南區,2004-08-04,2889
台中市政府,私立早稻田英日語會話短期補習班,A0195,,外語類,南區,1997-01-21,2889
台中市政府,士大資優生文教事業有限公司附設臺中市私立士大資優生文理短期補習班,A1003,,文理類,南區,2003-09-23,2889
台中市政府,臺中市私立智宣文理短期補習班,,lin0933427922@gmail.com,文理類,南區,2005-12-12,2889
台中市政府,臺中市私立聚豐餐旅短期補習班,,,家政、插花、烹飪類,南區,2006-09-28,2889
台中市政府,臺中市私立心象美語會話短期補習班,,a0931493483@gmail.com,外語類,南區,2007-01-02,2889
台中市政府,臺中市私立英傑文理短期補習班,,ej133_2@yahoo.com.tw,文理類,南區,2009-09-30,2889
台中市政府,臺中市私立立卓珠心算附設美語會話短期補習班,,,商類：珠算、心算、會計,南區,2003-09-01,2889
台中市政府,臺中市私立斯普林美語美術珠心算短期補習班,,bigapple618@yahoo.com.tw,外語類,南區,2009-09-09,2889
台中市政府,臺中市私立東東珠心算附設美術短期補習班,,,商類：珠算、心算、會計,南區,2005-06-14,2889
台中市政府,臺中市私立數亞文理短期補習班,A1100,c0823782088@yahoo.com.tw,文理類,南區,2004-05-05,2889
台中市政府,臺中市私立西雅圖美語短期補習班,,,外語類,南區,2007-06-25,2889
台中市政府,康乃爾英語股份有限公司附設臺中市私立康乃爾英語會話短期補習班,,,外語類,南區,2005-06-02,2889
台中市政府,臺中市私立艾莉英語會話短期補習班,,italkenglish@gmail.com,外語類,南區,2006-07-13,2889
台中市政府,臺中市私立方圓圍棋教室短期補習班國光分班,,,美術、書法、攝影、美工設計、圍棋類,南區,2005-02-04,2889
台中市政府,臺中市私立新康乃爾英語會話短期補習班,A0068,,外語類,南區,1992-12-10,2889
台中市政府,臺中市私立蕾迪文理短期補習班,A0945,,外語類,南區,2003-05-27,2889
台中市政府,臺中市私立巨林文理短期補習班,A1043,,文理類,南區,2003-12-03,2889
台中市政府,臺中市私立紙風車美術短期補習班,A0796,,美術、書法、攝影、美工設計、圍棋類,南區,2002-07-16,2889
