地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
苗栗縣政府,苗栗縣私立小羊畫室技藝短期補習班,,ytc6435a@gmail.com,美術、書法、攝影、美工設計、圍棋類,文山里,2018-07-13,303
苗栗縣政府,苗栗縣私立瑞斯英語文理短期補習班,,ricky_7787@hotmail.com,文理類,苗栗市,2021-01-19,303
苗栗縣政府,苗栗縣私立章宏文理短期補習班,374,,文理類,三灣鄉,2012-10-18,303
苗栗縣政府,苗栗縣私立品誠文理短期補習班,175,aass010203@yahoo.com.tw,文理類,三灣鄉,2008-06-18,303
苗栗縣政府,苗栗縣私立聯合文理短期補習班,725,m996@kimo.com,文理類,三義鄉,2004-09-10,303
苗栗縣政府,苗栗縣私立三義名人文理短期補習班,,wenpin2000@yahoo.com.tw,文理類,三義鄉,2017-09-28,303
苗栗縣政府,苗栗縣私立愛丁堡美語技藝短期補習班,91,,外語類,三義鄉,2006-09-27,303
苗栗縣政府,苗栗縣私立明達文理短期補習班,407,sa.polo@yahoo.com.tw,文理類,三義鄉,2008-12-09,303
苗栗縣政府,苗栗縣私立俊揚文理短期補習班,416,,文理類,三義鄉,2014-02-28,303
苗栗縣政府,苗栗縣私立大仁文理短期補習班,395,,文理類,三義鄉,2013-05-13,303
苗栗縣政府,苗栗縣私立小天使美語珠心算技藝短期補習班,165,pvivian7@yahoo.com.tw,外語類,三義鄉,2008-03-28,303
苗栗縣政府,苗栗縣私立華聯文理短期補習班,213,gina@north-union.com.tw,文理類,公館鄉,2009-04-16,303
苗栗縣政府,苗栗縣私立育林文理短期補習班,276,,文理類,公館鄉,2010-11-22,303
苗栗縣政府,苗栗縣私立宇冠文理短期補習班,,sokun0827@gmail.com,文理類,公館鄉,2006-06-09,303
苗栗縣政府,苗栗縣私立優兒堡文理短期補習班,351,,文理類,公館鄉,2012-04-05,303
苗栗縣政府,苗栗縣私立仁愛文理短期補習班,455,,文理類,公館鄉,2011-05-23,303
苗栗縣政府,苗栗縣私立立冠文理短期補習班,314,,文理類,公館鄉,2011-10-11,303
苗栗縣政府,苗栗縣私立小太陽文理短期補習班,392,12pillar@gmail.com,文理類,公館鄉,2013-04-25,303
苗栗縣政府,苗栗縣私立學立文理短期補習班,321,,文理類,公館鄉,2011-10-31,303
苗栗縣政府,苗栗縣私立頂尖文理短期補習班,337,janeis.lee@msa.hinet.net,外語類,公館鄉,2012-01-20,303
苗栗縣政府,苗栗縣私立東昇文理短期補習班,219,d0937429996@gmail.com,文理類,公館鄉,2009-05-25,303
苗栗縣政府,苗栗縣私立123文理短期補習班,425,,文理類,公館鄉,2014-06-20,303
苗栗縣政府,苗栗縣私立多倫多文理短期補習班,352,,文理類,卓蘭鎮,2012-04-08,303
苗栗縣政府,苗栗縣私立安佩文理短期補習班,343,33sam@yahoo.com.tw,文理類,卓蘭鎮,2012-02-16,303
苗栗縣政府,苗栗縣私立立達文理短期補習班,344,liu582@yahoo.com.tw,外語類,卓蘭鎮,2012-02-16,303
苗栗縣政府,苗栗縣私立e學園文理短期補習班,263,,外語類,卓蘭鎮,2010-07-04,303
苗栗縣政府,苗栗縣私立慧圓珠心算技藝短期補習班,394,,商類：珠算、心算、會計,卓蘭鎮,2013-05-13,303
苗栗縣政府,苗栗縣私立巨東技藝文理短期補習班,,h64926117@yahoo.com.tw,文理類,大湖鄉,1995-07-07,303
苗栗縣政府,苗栗縣私立愛尼爾文理短期補習班,387,,文理類,大湖鄉,2013-03-05,303
苗栗縣政府,苗栗縣私立葉老師珠心算美語技藝短期補習班,348,,商類：珠算、心算、會計,大湖鄉,2005-10-20,303
苗栗縣政府,苗栗縣私立龍門文理短期補習班,340,,文理類,後龍鎮,2012-02-08,303
苗栗縣政府,苗栗縣私立祐群文理短期補習班,74,,商類：珠算、心算、會計,後龍鎮,2006-06-29,303
苗栗縣政府,苗栗縣私立華盛頓文理短期補習班,451,,文理類,後龍鎮,2006-07-18,303
苗栗縣政府,苗栗縣私立新僑文理短期補習班,368,,文理類,後龍鎮,2012-08-20,303
苗栗縣政府,苗栗縣私立黃氏珠心算技藝短期補習班,242,moonhuang311@gmail.com,商類：珠算、心算、會計,後龍鎮,2009-11-27,303
苗栗縣政府,苗栗縣私立錞樂技藝短期補習班,201,puremusic0701@gmail.com,音樂、舞蹈類,後龍鎮,2009-01-20,303
