地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
南投縣政府,南投縣私立孟坊美術短期補習班,a055,moshyan0319@gmail.com,美術、書法、攝影、美工設計、圍棋類,南投市,2003-02-07,224
南投縣政府,南投縣私立台大文理技藝短期補習班,a017,Wjji@MS33.hinet.net,文理類,南投市,1997-04-09,224
南投縣政府,南投縣私立中興文理短期補習班,a009,m221776@yahoo.com.tw,文理類,南投市,1993-07-03,224
南投縣政府,南投縣私立學廬文理短期補習班,a011,hsusuhsia@gmail.com,文理類,南投市,2000-06-26,224
南投縣政府,南投縣私立嘉宏文理短期補習班,a113,,文理類,南投市,2012-10-18,224
南投縣政府,南投縣私立詹姆士的家文理短期補習班,a087,,外語類,南投市,2007-06-11,224
南投縣政府,南投縣私立學者超越文理短期補習班,a043,nyjt123888@yahoo.com.tw,文理類,南投市,2001-09-25,224
南投縣政府,南投縣私立金牌文理短期補習班,,goldenmedal166@gmail.com,文理類,南投市,2016-08-15,224
南投縣政府,南投縣私立佳鑫文理短期補習班,,bc040@joy.com.tw,文理類,南投市,2015-07-22,224
南投縣政府,南投縣私立飛揚文理短期補習班,,,文理類,南投市,2019-07-29,224
南投縣政府,南投縣私立辰品文理短期補習班,,,文理類,南投市,2021-07-22,224
南投縣政府,南投縣私立富森文理短期補習班,,bc080@joy.com.tw,文理類,南投市,2020-05-15,224
南投縣政府,南投縣私立勤學園文理短期補習班,a110,,文理類,南投市,2011-09-28,224
南投縣政府,南投縣私立守嶍文理短期補習班,a101,,文理類,南投市,2009-06-03,224
南投縣政府,南投縣私立正學文理短期補習班,,stylearning@gmail.com,文理類,南投市,2014-11-24,224
南投縣政府,南投縣私立新興威文理短期補習班,a081,,文理類,南投市,2006-11-17,224
南投縣政府,南投縣私立開莘文理短期補習班,a107,love_shen903@yahoo.com.tw,文理類,南投市,2011-01-21,224
南投縣政府,南投縣私立檸檬樹文理短期補習班,a066,et000000@hotmail.com,文理類,南投市,2004-11-08,224
南投縣政府,南投縣私立周琳文理短期補習班,,,文理類,南投市,2004-02-02,224
南投縣政府,南投縣私立樂活瑜珈中心技藝短期補習班,a092,,瑜珈類,南投市,2007-10-25,224
南投縣政府,南投縣私立富蘭克林文理短期補習班,a062,iam888888@gmail.com,文理類,南投市,2003-12-15,224
南投縣政府,南投縣私立祥春藤文理短期補習班,a094,,文理類,南投市,2008-01-16,224
南投縣政府,南投縣私立優加學院文理短期補習班,,,文理類,南投市,2021-06-08,224
南投縣政府,南投縣私立格翊文理短期補習班,a090,ge-yi@msa.hinet.net,文理類,南投市,2007-08-07,224
南投縣政府,南投縣私立優加文理短期補習班,A116,s955698585@gmail.com,文理類,南投市,2016-01-07,224
南投縣政府,南投縣私立伊勵特美語短期補習班,a082,cba7642@yahoo.com.tw,外語類,南投市,2006-12-19,224
南投縣政府,南投縣私立向上文理短期補習班,a105,,文理類,南投市,2010-08-02,224
南投縣政府,南投縣私立遠見文理短期補習班,a040,lawrence.2316548@gmail.com,文理類,南投市,2004-12-15,224
南投縣政府,私立救國團南投縣團委會附設技藝語文短期補習班,a048,cycntutc@ms14.hinet.net,文理類,南投市,1997-07-22,224
南投縣政府,智基科技開發股份有限公司附設南投私立志光法商補習班南投分班,a098,,法政類,南投市,2009-03-30,224
南投縣政府,南投縣私立李靜枝舞蹈短期補習班,a022,ta396242@yahoo.com.tw,音樂、舞蹈類,南投市,1997-07-22,224
南投縣政府,南投縣私立翰霖文理短期補習班,a099,,文理類,南投市,2009-10-08,224
南投縣政府,南投縣私立大育文理短期補習班,a085,,文理類,南投市,2007-04-09,224
南投縣政府,南投縣私立勁綸文理短期補習班,,,文理類,南投市,2019-11-08,224
南投縣政府,南投縣私立育成文理短期補習班,a068,yuchang.busiban@msa.hinet.net,文理類,南投市,2005-03-07,224
南投縣政府,南投縣私立政文文理短期補習班,a025,,文理類,南投市,1998-06-02,224
南投縣政府,南投縣私立橄欖樹兒童藝術技藝短期補習班,,,美術、書法、攝影、美工設計、圍棋類,南投市,2017-10-23,224
南投縣政府,南投縣私立尚霖文理-南投分班短期補習班,a074,hwang.hc@msa.hinet.net,文理類,南投市,2006-03-20,224
南投縣政府,南投縣私立蒲公英文理短期補習班,a071,,文理類,南投市,2005-06-20,224
南投縣政府,南投縣私立勵宇文理短期補習班,a038,leei.yui@msa.hinet.net,文理類,南投市,2001-04-02,224
南投縣政府,南投縣私立博智文理短期補習班,a021,jordan.nt@msa.hinet.net,文理類,南投市,1996-08-09,224
南投縣政府,南投縣私立林老師文理短期補習班,a096,,文理類,南投市,2008-11-13,224
南投縣政府,南投縣私立至揚文理短期補習班,A079,,文理類,南投市,2006-10-14,224
南投縣政府,南投縣私立卓能文理短期補習班,a047,kevinsun808@gmail.com.,商類：珠算、心算、會計,南投市,1996-06-21,224
南投縣政府,南投縣私立向陽文理短期補習班,A118,,文理類,南投市,2016-03-29,224
南投縣政府,南投縣私立杰成文理短期補習班,,,文理類,南投市,2022-01-27,224
南投縣政府,南投縣私立加州美語文理短期補習班,a057,Melinda.chuang@msa.hinet.net,外語類,南投市,2002-12-23,224
南投縣政府,南投縣私立多加英語會話作文短期補習班,a046,stephen.dorcas@gmail.com,外語類,南投市,1996-01-15,224
南投縣政府,南投縣私立蕭老師繪畫短期補習班,a073,,美術、書法、攝影、美工設計、圍棋類,南投市,2005-11-10,224
南投縣政府,南投縣私立小天才文理短期補習班,A078,,文理類,南投市,2006-09-18,224
南投縣政府,南投縣私立贏家文理短期補習班,,,文理類,南投市,2019-08-29,224
南投縣政府,南投縣私立正北文理短期補習班,a028,lillian.chian@gmail.com,外語類,南投市,1999-02-19,224
南投縣政府,南投縣私立依德文理短期補習班,a035,eden.school@msa.hinet.net,文理類,南投市,2000-10-27,224
南投縣政府,南投縣私立志學文理短期補習班,a093,tsungyulin@yahoo.com.tw,文理類,南投市,2007-11-08,224
南投縣政府,南投縣私立霍爾技藝短期補習班,,,美術、書法、攝影、美工設計、圍棋類,南投市,2019-03-28,224
南投縣政府,南投縣私立摩根美語文理短期補習班,a052,,外語類,南投市,2002-08-29,224
南投縣政府,南投縣私立蘋果屋技藝短期補習班,a060,matthews.liao@gmail.com,音樂、舞蹈類,南投市,2003-12-15,224
南投縣政府,南投縣私立華盛頓美語短期補習班,a033,washington.nt@gmail.com ,外語類,南投市,2000-07-26,224
南投縣政府,南投縣私立愛心心算美語短期補習班,a006,df2003tw@hotmail.com,外語類,南投市,1998-06-30,224
南投縣政府,南投縣私立優仕文理短期補習班,a074,,文理類,南投市,2005-10-24,224
南投縣政府,南投縣私立偉達文理短期補習班南投分班,a104,waydar99@yahoo.com.tw,文理類,南投市,2010-08-27,224
南投縣政府,南投縣私立陳老師文理短期補習班,a029,tony610626@yahoo.com.tw,文理類,南投市,2004-12-09,224
南投縣政府,南投縣私立活力文理短期補習班,,49008nt@giraffe.com.tw,文理類,南投市,2005-09-21,224
南投縣政府,南投縣私立夏天童畫技藝短期補習班,a088,happy06222001@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,南投市,2007-06-21,224
南投縣政府,南投縣私立正一心算文理短期補習班,a059,lisa53242000@gmail.com,商類：珠算、心算、會計,南投市,2003-05-26,224
南投縣政府,南投縣私立安鑫文理技藝短期補習班,a056,e2228185@yahoo.com.tw,文理類,南投市,2002-12-09,224
南投縣政府,南投縣私立樂音音樂短期補習班,a106,,音樂、舞蹈類,南投市,2010-11-18,224
南投縣政府,南投縣私立文人文理短期補習班,f005,m19025@yahoo.com.tw,文理類,名間鄉,2002-12-23,224
南投縣政府,南投縣私立建國文理短期補習班,f001,joy590901@hotmail.com,文理類,名間鄉,2002-05-01,224
南投縣政府,南投縣私立冠霖文理短期補習班,,,文理類,埔里鎮,2016-12-02,224
南投縣政府,南投縣私立成真文理短期補習班,,,文理類,埔里鎮,2019-07-12,224
南投縣政府,南投縣私立特斯拉文理短期補習班,,,文理類,埔里鎮,2020-11-30,224
南投縣政府,南投縣私立立人文理短期補習班,b006,,文理類,埔里鎮,1994-08-22,224
南投縣政府,南投縣私立洪榮隆音樂技藝文理短期補習班,,,音樂、舞蹈類,埔里鎮,2017-01-09,224
南投縣政府,南投縣私立宇凡文理短期補習班,,math640311@gmail.com,文理類,水里鄉,2022-01-21,224
南投縣政府,南投縣私立立呈文理短期補習班,,,文理類,竹山鎮,2016-07-27,224
南投縣政府,南投縣私立瑪仕特文理短期補習班,,s9007043@msn.com,文理類,竹山鎮,2017-11-01,224
南投縣政府,南投縣私立獅子王美語短期補習班,D016,,外語類,竹山鎮,2005-06-20,224
南投縣政府,南投縣私立立揚文理短期補習班,C050,ly2562677@gmail.com,文理類,草屯鎮,2005-04-11,224
南投縣政府,南投縣私立宏文文理短期補習班,c006,qoo2358789@yahoo.com.tw,文理類,草屯鎮,1999-01-18,224
