地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
彰化縣政府,私立弘捷文理短期補習班,,,文理類,二林鎮,2005-10-19,983
彰化縣政府,私立吉幼語文短期補習班,b202,,外語類,二林鎮,2000-08-16,983
彰化縣政府,私立資優林肯美語短期補習班,,,外語類,二林鎮,2012-06-15,983
彰化縣政府,私立承閎文理短期補習班,,,文理類,二林鎮,2006-11-21,983
彰化縣政府,彰化縣私立英才文理短期補習班,,,文理類,二林鎮,2019-09-03,983
彰化縣政府,私立 揚名數學短期補習班,,,文理類,二林鎮,2011-11-29,983
彰化縣政府,三人廣栽桃李文教事業有限公司附設彰化縣私立加英英語短期補習班,,erlinjoy2091@gmail.com,外語類,二林鎮,2003-05-23,983
彰化縣政府,私立小劍橋作文短期補習班,,,其他類,二林鎮,2006-09-12,983
彰化縣政府,彰化縣私立志達文理短期補習班,,,文理類,二林鎮,2016-04-20,983
彰化縣政府,彰化縣私立沐琴文理技藝短期補習班,,,文理類,二林鎮,2022-08-08,983
彰化縣政府,私立宏名數學英語短期補習班,b125,h8969366@yahoo.com.tw,外語類,二林鎮,1995-04-05,983
彰化縣政府,私立全球文理短期補習班,,global388@gmail.com,文理類,二林鎮,2008-09-04,983
彰化縣政府,私立捷登英語短期補習班,,,外語類,二林鎮,2002-07-03,983
彰化縣政府,私立優格林文理短期補習班,b209,yourgreen101@gmail.com,外語類,二林鎮,2001-01-19,983
彰化縣政府,私立永裕數學短期補習班,,a0977317312@gmail.com,文理類,二林鎮,2013-09-23,983
彰化縣政府,私立正碩文理短期補習班,,,文理類,二林鎮,2013-10-16,983
彰化縣政府,私立文揚文理短期補習班,,,文理類,二林鎮,2012-07-25,983
彰化縣政府,彰化縣私立立恩美語短期補習班,,,外語類,二林鎮,2015-07-07,983
彰化縣政府,私立清華文理短期補習班,,chinghua8969859@gmail.com,文理類,二林鎮,2004-05-20,983
彰化縣政府,私立大蘋果美語短期補習班,,,外語類,二林鎮,2008-10-30,983
彰化縣政府,彰化縣私立金台大文理短期補習班,,,文理類,二林鎮,2015-02-03,983
彰化縣政府,私立大東華文理短期補習班,a138,,文理類,二林鎮,1997-03-03,983
彰化縣政府,彰化縣私立永旭文理短期補習班,,,文理類,二林鎮,2017-12-26,983
彰化縣政府,私立文化美術短期補習班,j103,,美術、書法、攝影、美工設計、圍棋類,二林鎮,1997-04-23,983
彰化縣政府,彰化縣私立全能電腦文理短期補習班,,n423526@gmail.com,文理類,二林鎮,2003-09-19,983
彰化縣政府,私立文聖文理短期補習班,a140,,文理類,二林鎮,1997-03-25,983
彰化縣政府,私立永翰美語短期補習班,,,外語類,二林鎮,2009-12-11,983
彰化縣政府,私立崇文文理短期補習班,,,文理類,二林鎮,2014-11-05,983
彰化縣政府,彰化縣私立名家文理短期補習班,,,文理類,二林鎮,2014-06-06,983
彰化縣政府,彰化縣私立厲害文理短期補習班,,,文理類,二林鎮,2003-10-14,983
彰化縣政府,私立全心美語短期補習班,,,外語類,二水鄉,2004-03-02,983
彰化縣政府,彰化縣私立張姐姐美語短期補習班,,chiachia1038@gmail.com,外語類,二水鄉,2018-03-07,983
彰化縣政府,私立翰成文理短期補習班,,,文理類,二水鄉,2008-12-01,983
彰化縣政府,私立黃老師珠心算短期補習班,,,商類：珠算、心算、會計,二水鄉,2014-04-28,983
彰化縣政府,私立明進美語短期補習班,,shelley07310720@gmail.com,外語類,二水鄉,2003-02-26,983
彰化縣政府,私立大時代作文短期補習班,b131,,外語類,二水鄉,1996-02-02,983
彰化縣政府,私立童愛美語短期補習班,,a7983378@yahoo.com.tw,外語類,伸港鄉,2005-07-26,983
彰化縣政府,彰化縣私立睿煜美語短期補習班,,,外語類,伸港鄉,2013-07-15,983
彰化縣政府,彰化縣私立育昇美語短期補習班,,,外語類,伸港鄉,2005-09-28,983
彰化縣政府,彰化縣私立夏洛特文理短期補習班,,,文理類,伸港鄉,2022-08-11,983
彰化縣政府,私立美爾蒂文理短期補習班,,mountchen@gmail.com,外語類,伸港鄉,2004-12-14,983
彰化縣政府,私立奪冠文理短期補習班,,,文理類,伸港鄉,2010-05-28,983
