地區縣市,短期補習班名稱,主管機關文件單位代碼,電子郵件,短期補習班類別,地址,立案時間,各地短期補習班數量
雲林縣政府,私立小林文理短期補習班,AO005,super-key@hotmail.com,文理類,二崙鄉,2015-12-08,368
雲林縣政府,私立智揚文理短期補習班,AO002,smallp.liao@gmail.com,文理類,二崙鄉,2007-04-16,368
雲林縣政府,私立師成文理短期補習班,AO005,wen5791@kimo.com,文理類,二崙鄉,2003-02-20,368
雲林縣政府,私立建科文理短期補習班,AT004,e8562.brenda@msa.hinet.net,文理類,元長鄉,2005-11-07,368
雲林縣政府,私立三立文理短期補習班,AT001,tom8@ms2.hinet.net,文理類,元長鄉,2009-10-27,368
雲林縣政府,私立宥佑文理短期補習班,AT005,yoyo0900@gmail.com,文理類,元長鄉,2004-09-16,368
雲林縣政府,私立文群文理短期補習班,AT006,werncheng@yahoo.com.tw,文理類,元長鄉,2002-04-18,368
雲林縣政府,私立捷盈文理短期補習班,AP003,ella121312@yahoo.com.tw,文理類,北港鎮,2013-05-07,368
雲林縣政府,私立小丸子文理短期補習班,AP023,2018yalingling@gmail.com,文理類,北港鎮,2003-12-29,368
雲林縣政府,私立維德文理短期補習班,AP014,yudoga@yahoo.com.tw,文理類,北港鎮,2008-04-02,368
雲林縣政府,私立吳老師文理短期補習班,AP016,mr.wu958@gmail.com,文理類,北港鎮,2007-05-11,368
雲林縣政府,私立加洲文理短期補習班,AP028,shawn.p881386@mas.hinet.net,文理類,北港鎮,2000-11-17,368
雲林縣政府,私立韻揚音樂短期補習班,AP010,Victor00023@kimo.com,音樂、舞蹈類,北港鎮,2009-06-15,368
雲林縣政府,私立大可文理短期補習班,AP007,,文理類,北港鎮,2010-09-29,368
雲林縣政府,私立新學文文理短期補習班,AP027,a0934052219@gmail.com,文理類,北港鎮,2001-12-20,368
雲林縣政府,私立晨光文理短期補習班,AP015,eric70313@yahoo.com.tw,文理類,北港鎮,2008-03-05,368
雲林縣政府,私立哈佛通美語短期補習班,AP022,henryyu.harvard@gmail.com,外語類,北港鎮,2004-03-17,368
雲林縣政府,私立小丸子文理短期補習班文仁分班,AP017,671004@yahoo.com.tw,文理類,北港鎮,2006-01-20,368
雲林縣政府,私立青山書院文理短期補習班,AP030,mt34186@gmail.com,文理類,北港鎮,1999-06-24,368
雲林縣政府,私立育才文理短期補習班,AP005,yucai.mathstar@gmail.com,文理類,北港鎮,2011-01-03,368
雲林縣政府,私立英智文理短期補習班,AP029,weiwei_e@yahoo.com.tw,文理類,北港鎮,2000-03-27,368
雲林縣政府,私立佩思技藝短期補習班,AP036,lidajhs@gmail.com,音樂、舞蹈類,北港鎮,2016-05-27,368
雲林縣政府,私立大業文理短期補習班,AP032,BC038@joy.com.tw,文理類,北港鎮,1996-06-19,368
雲林縣政府,私立王堉文理短期補習班,AP006,t0953886081@pksh.ylc.edu.tw,文理類,北港鎮,2010-11-30,368
雲林縣政府,私立金陵文理短期補習班,AP008,multibeautifulday@yahoo.com.tw,文理類,北港鎮,2010-08-13,368
雲林縣政府,私立仁新文理短期補習班,AP038,kid.dave@msa.hinet.net,文理類,北港鎮,2002-12-16,368
雲林縣政府,私立建穎文理短期補習班,AP002,s81242242006@yahoo.com.tw,文理類,北港鎮,2014-03-17,368
雲林縣政府,私立李老師珠心算短期補習班,AP025,sulieen@yahoo.com.tw,商類：珠算、心算、會計,北港鎮,2002-07-01,368
雲林縣政府,私立耘成文理短期補習班,AP009,,文理類,北港鎮,2010-08-13,368
雲林縣政府,私立慈惠珠心算短期補習班,AP019,may6142@yahoo.com.tw,商類：珠算、心算、會計,北港鎮,2005-03-16,368
雲林縣政府,私立牛津英語會話短期補習班,AP035,zee10102@yahoo.com.tw,外語類,北港鎮,1990-06-28,368
雲林縣政府,私立貓頭鷹英文短期補習班,AP018,tc5d000@yahoo.com.tw,外語類,北港鎮,2005-04-21,368
雲林縣政府,私立柏凱文理短期補習班,AP021,sesameenglish101@hotmail.com.tw,文理類,北港鎮,2005-03-03,368
雲林縣政府,私立河馬文理短期補習班,AP012,yehhippo1207@gmail.com,文理類,北港鎮,2008-12-22,368
雲林縣政府,私立沐書園文理短期補習班,AL010,steedperry@gmail.com,文理類,古坑鄉,1996-10-22,368
雲林縣政府,私立林老師文理短期補習班,AL008,miss_lin0515@yahoo.com.tw,文理類,古坑鄉,2001-06-11,368
雲林縣政府,私立成峯文理短期補習班,AC001,mpm.y062@msa.hinet.net,文理類,土庫鎮,2009-12-04,368
雲林縣政府,私立昌明文理短期補習班,AC008,yang51sue12@yahoo.com.tw,文理類,土庫鎮,2004-03-03,368
雲林縣政府,私立吉的堡美語短期補習班,AC014,joejoe3738@gmail.com,外語類,土庫鎮,1999-07-01,368
雲林縣政府,私立龍興文理短期補習班,AC009,emily68471@gmail.com,文理類,土庫鎮,2003-07-02,368
雲林縣政府,私立正文文理短期補習班,AC012,gary520310@gmail.com,文理類,土庫鎮,2002-05-29,368
雲林縣政府,私立智詮珠心算才藝短期補習班,AC002,sdevol34@gmail.com,商類：珠算、心算、會計,土庫鎮,2007-10-25,368
雲林縣政府,私立卓岳文理短期補習班,AC013,mpm040@gmail.com,文理類,土庫鎮,2002-04-01,368
雲林縣政府,私立吳老師文理短期補習班,AC011,tukuwu@gmail.com,文理類,土庫鎮,2002-06-04,368
雲林縣政府,私立宇泓文理短期補習班,AC003,,文理類,土庫鎮,2006-07-21,368
雲林縣政府,私立憲儒文理短期補習班,AC005,claire0000510@yahoo.com.tw,文理類,土庫鎮,2005-04-21,368
雲林縣政府,私立贏家文理短期補習班,AB001,nicoleric123@gmail.com,文理類,大埤鄉,2010-12-03,368
雲林縣政府,私立正大文理短期補習班,AB006,roland06@ms14.hinet.net,文理類,大埤鄉,1990-04-04,368
雲林縣政府,私立先優文理短期補習班,AB003,,文理類,大埤鄉,2006-09-01,368
雲林縣政府,私立凱英文理短期補習班,AH003,,文理類,崙背鄉,2008-07-09,368
雲林縣政府,私立小玉美術技藝短期補習班,AH002,vioiv931119@gmail.com,美術、書法、攝影、美工設計、圍棋類,崙背鄉,2012-07-02,368
雲林縣政府,私立適華文理短期補習班,AH009,,文理類,崙背鄉,2003-09-08,368
雲林縣政府,私立常春藤文理短期補習班,AH005,58135rb@giraffe.com,文理類,崙背鄉,2007-03-07,368
雲林縣政府,私立正典文理短期補習班,AH006,enkingkt@yahoo.com.tw,文理類,崙背鄉,2004-11-10,368
雲林縣政府,私立高盛文理短期補習班,AH015,,文理類,崙背鄉,2019-06-13,368
雲林縣政府,私立格德文理短期補習班,AH008,lunbei@hotmail.com.tw,文理類,崙背鄉,2004-04-09,368
雲林縣政府,私立大將文理短期補習班,AH011,meilan.meilan@gmail.com,文理類,崙背鄉,2002-10-15,368
雲林縣政府,私立大狀元美語短期補習班,AH013,loyumom@gmail.com,外語類,崙背鄉,2002-04-01,368
雲林縣政府,私立小牛津文理短期補習班,AJ080,lise601120@seed.net.tw,文理類,斗六市,2003-06-09,368
雲林縣政府,私立小博士文理短期補習班,AJ044,kids5334077@yahoo.com.tw,文理類,斗六市,2007-08-16,368
雲林縣政府,私立佳佳文理短期補習班,AJ031,joydouliu@gmail.com,文理類,斗六市,2009-07-17,368
雲林縣政府,私立愛德堡文理短期補習班,AJ025,alderber@yahoo.com.tw,文理類,斗六市,2010-09-06,368
雲林縣政府,私立張鈞文理短期補習班,AJ042,chuchia2524@hotmail.com,文理類,斗六市,2007-12-20,368
雲林縣政府,私立富蘭克林語文短期補習班,AJ121,saabsaab@ms31.hinet.net,外語類,斗六市,1996-09-05,368
雲林縣政府,私立小豆豆舞蹈短期補習班,AJ117,arsn112426@yahoo.com.tw,音樂、舞蹈類,斗六市,1997-10-17,368
雲林縣政府,私立華爾街美語短期補習班,AJ052,lesilychang0102@gmail.com,外語類,斗六市,2006-06-07,368
雲林縣政府,私立小木馬文理短期補習班,AJ056,aa0923121418@gmail.com,文理類,斗六市,2005-12-12,368
雲林縣政府,私立B612兒童藝術基地技藝短期補習班,AJ132,hwai_li@yahoo.com.tw,美術、書法、攝影、美工設計、圍棋類,斗六市,2015-07-28,368
雲林縣政府,私立多思英語短期補習班,AJ097,awesomejory@gmail.com,外語類,斗六市,2001-11-29,368
雲林縣政府,私立春暉文理短期補習班,AJ102,chhuy007@yahoo.com.tw,文理類,斗六市,2001-03-19,368
雲林縣政府,私立大大文理短期補習班,AJ093,bcdada168@gmail.com,文理類,斗六市,2002-04-30,368
雲林縣政府,私立雨果文理短期補習班,AJ070,mj1021p@gmail.com,文理類,斗六市,2004-06-01,368
雲林縣政府,私立貝登堡美語短期補習班,AJ115,m820218@yahoo.com.tw,外語類,斗六市,1998-01-16,368
雲林縣政府,私立啟思文理短期補習班,AJ065,monkeyccya@yahoo.com.tw,文理類,斗六市,2005-03-25,368
雲林縣政府,私立崧塿文理短期補習班,AJ074,y53776892000@yahoo.com.tw,文理類,斗六市,2004-03-09,368
雲林縣政府,高點數位科技股份有限公司雲林分公司附設雲林縣私立高點建國文理短期補習班,AJ009,,文理類,斗六市,2013-05-31,368
雲林縣政府,私立芝麻街美語會話文理短期補習班,AJ120,destinyjj@hotmail.com,外語類,斗六市,1996-09-12,368
雲林縣政府,私立好點子文理短期補習班,AJ060,dora20048@yahoo.com.tw,文理類,斗六市,2005-06-09,368
雲林縣政府,私立晨曦文理短期補習班,AJ016,,文理類,斗六市,2012-06-21,368
雲林縣政府,私立皇家文理短期補習班,AJ067,juliep222@hotmail.com,文理類,斗六市,2004-10-12,368
雲林縣政府,私立晉士文理短期補習班,AJ076,ruta0212@yahoo.com.tw,文理類,斗六市,2003-12-03,368
雲林縣政府,私立名人榜美語短期補習班,AJ086,terryyeh0316@yahoo.com.tw,外語類,斗六市,2002-10-08,368
