區域,r平均數,r便利商店,r人口密度,平均數,便利商店,人口密度
松山里,1187,262,20822,A,A,A
大安區,1387,367,25649,A,A,A
中正區,1219,285,19803,A,A,A
大同區,863,158,21257,A,A,A
中山區,1102,459,15755,A,A,A
文山區,1012,197,8302,A,A,A
南港區,951,120,5301,A,A,C
內湖區,1088,308,8762,A,A,A
士林區,1006,302,4324,A,A,C
北投區,951,199,4307,A,A,C
信義區,1028,252,18514,A,A,A
林口區,998,112,2301,A,A,C
新店區,864,312,2493,A,A,C
永和區,868,199,37622,A,A,A
桃園區,818,481,13184,A,A,A
蘆竹區,803,207,2204,A,A,C
東　區,1412,298,6601,A,A,A
北　區,883,265,9687,A,A,A
竹東鎮,831,82,1805,A,A,C
竹北市,1495,234,4403,A,A,C
寶山鄉,1152,12,224,A,C,C
西區,899,129,18503,A,A,A
西屯區,943,290,5794,A,A,C
南屯區,937,167,5656,A,A,C
東　區,875,158,13603,A,A,A
北　區,802,94,12259,A,A,A
中西區,847,107,12413,A,A,A
善化區,878,36,927,A,C,C
鼓山區,873,127,9518,A,A,A
新興區,850,90,24986,A,A,A
前金區,867,55,14223,A,B,A
鳥松區,923,30,1805,A,C,C
萬華區,734,208,19952,B,A,A
新莊區,686,403,21348,B,A,A
五股區,616,97,2595,B,A,C
蘆洲區,645,183,27100,B,A,A
三重區,658,443,23395,B,A,A
泰山區,673,73,4042,B,B,C
深坑區,663,24,1149,B,C,C
板橋區,769,590,23888,B,A,A
三峽區,678,101,606,B,A,C
樹林區,647,177,5491,B,A,C
中和區,742,461,20162,B,A,A
土城區,628,224,8035,B,A,A
淡水區,751,232,2621,B,A,C
汐止區,747,222,2892,B,A,C
宜蘭市,654,98,3226,B,A,C
羅東鎮,640,65,6235,B,B,A
中壢區,735,495,5522,B,A,C
楊梅區,646,157,1983,B,A,C
大園區,635,109,1055,B,A,C
龜山區,715,224,2316,B,A,C
八德區,632,186,6219,B,A,A
龍潭區,685,128,1654,B,A,C
平鎮區,674,199,4779,B,A,C
仁愛區,633,81,9884,B,A,A
