,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,便利商店,年底人口數,土地面積,人口密度
東　區,54139,47377074,875,508,229,1070,1319.56,150.79,158,182489,13.4156,13603
南　區,31793,19182420,603,390,189,735,807.76,133.88,106,122345,27.2681,4487
北　區,36551,29295916,802,466,213,980,1086.72,135.58,94,127913,10.434,12259
安南區,47344,28788771,608,406,201,756,702.28,115.49,103,197061,107.2016,1838
安平區,18557,14485542,781,463,213,940,1123.39,143.91,50,67446,11.0663,6095
中西區,21750,18426222,847,462,201,990,1431.52,168.97,107,77704,6.26,12413
新營區,21747,14970440,688,461,222,895,781.58,113.54,43,75506,38.5386,1959
鹽水區,5635,3048985,541,383,202,657,727.95,134.54,11,24777,52.2455,474
白河區,4960,2645997,533,374,181,672,633.33,118.72,16,26693,126.4046,211
柳營區,4954,2780550,561,397,202,707,627.53,111.80,10,20618,61.2929,336
後壁區,4818,2690132,558,401,201,728,578.96,103.69,7,22322,72.2189,309
東山區,3467,1806873,521,362,193,639,590.49,113.30,10,19788,124.9178,158
麻豆區,11053,6872685,622,418,214,780,710.03,114.19,34,43373,53.9744,804
下營區,5180,2908815,562,394,209,707,612.20,109.02,5,23062,33.5291,688
六甲區,5116,2854038,558,396,212,694,610.06,109.36,9,21488,67.5471,318
官田區,5367,2932715,546,394,206,703,574.95,105.22,11,21035,70.7953,297
大內區,1726,816424,473,338,179,590,532.29,112.53,3,9048,70.3125,129
佳里區,14940,9086134,608,412,210,770,702.04,115.43,38,58482,38.9422,1502
西港區,5594,2989703,534,372,189,652,657.54,123.03,9,24495,33.7666,725
七股區,3672,1817123,495,338,163,617,601.23,121.49,4,21757,110.1492,198
將軍區,3336,1626228,487,347,182,599,553.63,113.57,6,18843,41.9796,449
北門區,1724,863330,501,358,185,622,536.81,107.20,1,10397,44.1003,236
學甲區,5933,3146669,530,370,190,669,611.39,115.28,9,24981,53.9919,463
新化區,10487,6119288,584,389,187,714,696.56,119.37,20,42809,62.0579,690
善化區,14266,12525727,878,535,259,1112,1079.19,122.91,36,51265,55.3097,927
新市區,10462,6967615,666,431,222,823,830.99,124.77,41,37546,47.8096,785
安定區,7127,4146557,582,399,205,738,640.87,110.15,23,30105,31.27,963
山上區,1623,771629,475,344,181,622,496.15,104.36,4,6996,27.878,251
玉井區,2442,1344734,551,381,198,692,628.98,114.22,5,13342,76.3662,175
楠西區,1393,677082,486,351,186,590,541.05,111.31,4,9031,109.6316,82
南化區,1320,669093,507,379,200,651,489.05,96.48,2,8264,171.5198,48
左鎮區,678,316865,467,332,164,576,492.82,105.45,0,4428,74.9025,59
仁德區,20229,12675104,627,422,211,789,730.19,116.54,71,76497,50.7664,1507
歸仁區,17509,10544371,602,410,211,741,717.67,119.17,39,68001,55.7913,1219
關廟區,7927,4190865,529,369,191,642,628.33,118.85,19,33860,53.6413,631
龍崎區,628,322999,514,354,176,636,600.10,116.68,2,3668,64.0814,57
永康區,63786,44619727,700,448,221,865,2511.97,359.10,209,234624,40.2753,5826
鹽埕區,6345,4080115,643,388,166,784,963.62,149.85,27,22912,1.4161,16180
鼓山區,40247,35121523,873,510,226,1068,1320.23,151.29,127,140410,14.7523,9518
左營區,56437,45120003,799,509,231,1017,1019.26,127.49,154,196314,19.3823,10129
楠梓區,54136,35612033,658,466,228,858,745.33,113.30,133,190149,25.8276,7362
三民區,95008,67905065,715,458,212,906,915.38,128.07,287,333038,19.7866,16831
新興區,15314,13021267,850,478,207,1008,1317.30,154.92,90,49383,1.9764,24986
前金區,8387,7267420,867,484,206,1003,1331.11,153.62,55,26416,1.8573,14223
苓雅區,48466,36884067,761,459,206,935,1122.75,147.53,173,164572,8.1522,20187
前鎮區,50155,33937569,677,442,207,858,875.84,129.44,142,182805,19.1207,9561
旗津區,5442,2656615,488,357,175,615,526.98,107.95,10,27204,1.4639,18583
小港區,42730,26018451,609,433,214,807,630.12,103.48,82,156035,45.4426,3434
鳳山區,97345,62278868,640,438,207,831,750.50,117.31,222,357946,26.759,13377
鳥松區,13335,12303340,923,509,227,1063,1432.43,155.25,30,44393,24.5927,1805
仁武區,25353,16529377,652,447,216,841,777.35,119.23,62,93581,36.0808,2594
大社區,8843,4986889,564,389,190,711,651.49,115.53,23,34050,26.5848,1281
大樹區,9060,4667173,515,373,184,650,613.08,119.01,16,41257,66.9811,616
大寮區,26793,14125755,527,372,183,678,735.41,139.49,84,111933,71.04,1576
林園區,16608,8972302,540,403,203,712,544.22,100.74,40,68893,32.286,2134
岡山區,27210,16353091,601,410,205,745,717.17,119.33,76,95922,47.9421,2001
茄萣區,6278,3002887,478,334,172,595,519.18,108.54,13,29812,15.7624,1891
永安區,3393,1695458,500,351,178,648,516.64,103.39,3,13618,22.6141,602
橋頭區,11302,7232240,640,434,218,809,766.76,119.82,27,40094,25.9379,1546
梓官區,8553,4371246,511,370,190,650,574.43,112.40,17,35117,11.5967,3028
田寮區,1174,559539,477,343,173,598,495.72,104.01,2,6788,92.6802,73
阿蓮區,6507,3524865,542,359,185,656,682.75,126.04,10,28011,34.6164,809
路竹區,13645,8069814,591,395,204,719,765.96,129.51,33,51217,48.4348,1057
燕巢區,6768,3603101,532,369,189,668,616.24,115.75,14,29244,65.395,447
彌陀區,4121,1989384,483,349,178,603,549.64,113.86,7,18627,14.7772,1261
湖內區,7670,4025444,525,357,187,643,625.75,119.23,14,29648,20.1615,1471
旗山區,6979,3731027,535,377,184,673,607.63,113.66,21,35162,94.6122,372
六龜區,1527,744363,487,348,169,607,703.41,144.30,4,12135,194.1584,63
內門區,2063,928614,450,334,163,577,469.05,104.20,6,13770,95.6224,144
