,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,便利商店,年底人口數,土地面積,人口密度
苗栗市,25677,16921481,659,453,219,876,872.28,132.36,93,86939,37.8878,2295
苑裡鎮,11459,5991304,523,350,173,644,636.53,121.74,31,44256,68.2473,648
通霄鎮,7884,4005059,508,354,174,641,551.85,108.63,13,32441,107.8486,301
公館鄉,8701,5011258,576,405,208,743,620.73,107.78,21,31867,71.4523,446
銅鑼鄉,4496,2372890,528,392,208,674,546.52,103.55,14,16871,78.3805,215
三義鄉,3955,2070729,524,375,195,668,599.82,114.56,15,15388,69.3424,222
西湖鄉,1651,896874,543,388,204,701,546.72,100.64,1,6558,41.0758,160
頭屋鄉,2736,1530439,559,389,200,719,822.66,147.07,6,10026,52.5046,191
竹南鎮,25972,19350667,745,479,231,941,884.46,118.71,86,87365,37.5592,2326
頭份市,31086,21882461,704,455,228,877,847.54,120.40,100,105084,53.3205,1971
造橋鄉,3410,1769846,519,383,194,669,512.77,98.80,10,11956,47.9978,249
後龍鎮,8257,4591085,556,387,200,691,604.10,108.65,27,34694,75.8079,458
三灣鄉,1544,796425,516,354,174,665,575.13,111.50,4,6201,52.2964,119
南庄鄉,1792,941891,526,361,182,625,730.92,139.06,6,9328,165.4938,56
大湖鄉,2629,1362245,518,374,181,665,590.56,113.97,11,13530,90.8396,149
卓蘭鎮,3020,1568812,519,373,187,670,577.37,111.14,9,15866,76.3153,208
獅潭鄉,777,413748,532,385,212,672,533.87,100.26,3,4117,79.4324,52
泰安鄉,783,405306,518,396,222,652,488.46,94.36,3,5691,614.5127,9
中區,4048,2934528,725,402,168,842,1483.99,204.71,78,17689,0.8803,20094
東區,20596,12970914,630,393,177,801,780.05,123.86,69,75588,9.2855,8140
西區,34564,31067132,899,491,208,1053,2116.98,235.53,129,126008,6.8101,18503
南　區,38269,27993945,732,468,209,953,870.91,119.06,110,112740,5.7042,19764
北　區,41250,31083784,754,431,190,898,1393.56,184.93,179,143917,6.9376,20744
西屯區,69458,65527091,943,517,230,1111,1598.72,169.46,290,230888,39.8467,5794
南屯區,53570,50177523,937,542,238,1144,1512.61,161.49,167,176782,31.2578,5656
北屯區,82627,62789787,760,468,210,950,1000.54,131.66,235,290653,62.7034,4635
豐原區,45996,28086626,611,380,176,746,816.32,133.68,130,164726,41.1845,4000
東勢區,10758,5701866,530,358,168,659,597.62,112.76,27,48333,117.4065,412
大甲區,19805,11693882,590,375,184,707,867.16,146.86,54,75516,58.5192,1290
清水區,23289,13416331,576,386,187,725,687.57,119.35,46,88366,64.1709,1377
沙鹿區,25599,17578446,687,447,213,854,914.27,133.14,82,96039,40.4604,2374
梧棲區,16164,9662822,598,409,193,758,721.74,120.73,55,59517,16.6049,3584
神岡區,17538,9318893,531,346,168,648,745.52,140.31,48,64841,35.0445,1850
后里區,13090,7246229,554,377,181,690,632.60,114.28,42,53961,58.9439,915
大雅區,25748,15773318,613,393,188,744,1175.80,191.94,68,95521,32.4109,2947
潭子區,30045,17676216,588,387,184,723,726.83,123.54,79,109270,25.8497,4227
新社區,4251,2236476,526,358,173,646,640.65,121.77,9,23650,68.8874,343
石岡區,3506,1838316,524,355,166,641,649.52,123.88,8,14419,18.2105,792
外埔區,7809,4221430,541,378,184,680,601.42,111.25,7,31564,42.4099,744
大安區,4383,2241553,511,353,175,615,624.76,122.16,5,18485,27.4045,675
烏日區,20845,13004516,624,410,192,784,852.14,136.59,61,77245,43.4032,1780
大肚區,15123,8274195,547,374,186,680,656.14,119.92,36,56458,37.0024,1526
龍井區,21333,12601486,591,394,192,744,852.72,144.36,57,77976,38.0377,2050
霧峰區,15958,8741936,548,357,171,671,774.93,141.46,55,64602,98.0779,659
太平區,48244,27508932,570,378,178,716,695.20,121.92,148,195613,120.7473,1620
大里區,56290,33467953,595,387,182,743,759.89,127.81,158,212253,28.8758,7351
和平區,1629,834809,512,360,176,653,524.55,102.36,5,10870,1037.8192,10
彰化市,64902,43477734,670,414,188,829,917.16,136.91,198,228470,65.6947,3478
鹿港鎮,21799,12465853,572,358,172,680,762.57,133.35,54,85837,39.4625,2175
和美鎮,24891,14069909,565,365,176,690,719.81,127.34,56,89558,39.9345,2243
北斗鎮,7628,4461662,585,385,178,736,796.23,136.13,18,33303,19.2547,1730
員林市,32391,21041856,650,416,197,802,860.40,132.45,85,122757,40.038,3066
溪湖鎮,12497,7051585,564,383,179,708,658.35,116.68,31,54340,32.0592,1695
田中鎮,9269,5147589,555,387,198,702,630.82,113.59,24,40123,34.6056,1159
二林鎮,9588,5402553,563,389,192,712,653.97,116.06,27,49082,92.8478,529
線西鄉,4232,2135494,505,337,161,623,649.86,128.79,6,16486,18.0856,912
伸港鄉,9479,4723197,498,345,167,627,573.72,115.14,10,37838,22.3268,1695
福興鄉,11403,5946057,521,333,166,621,699.17,134.08,27,45956,49.8934,921
秀水鄉,10219,5735506,561,361,175,684,761.59,135.69,14,38633,29.3447,1317
花壇鄉,11893,6648780,559,366,170,672,760.41,136.02,22,44795,36.3469,1232
芬園鄉,5093,2505057,492,338,170,596,555.29,112.90,6,22827,38.0204,600
大村鄉,9264,4929260,532,364,175,639,1013.90,190.55,15,39835,30.7837,1294
埔鹽鄉,7190,3700947,515,343,160,631,637.33,123.82,8,31682,38.6081,821
埔心鄉,8224,4302873,523,356,167,657,593.71,113.47,18,34037,20.9526,1624
永靖鄉,8087,4247373,525,359,168,647,609.20,115.99,16,35879,20.6382,1738
社頭鄉,9734,5152450,529,364,173,660,967.53,182.79,22,42026,36.1449,1163
二水鄉,3096,1612838,521,362,187,669,576.62,110.69,7,14377,29.4449,488
田尾鄉,5435,2923376,538,367,169,666,635.93,118.23,8,26407,24.0375,1099
埤頭鄉,6190,3405643,550,364,177,675,677.85,123.20,14,29706,42.7508,695
芳苑鄉,5042,2478255,492,344,177,608,550.20,111.94,10,32110,91.3827,351
大城鄉,2336,1206623,517,366,193,643,559.84,108.38,3,15733,63.7406,247
竹塘鄉,2458,1334743,543,385,184,696,585.82,107.88,4,14584,42.1662,346
溪州鄉,5398,2886636,535,365,175,655,682.45,127.62,9,28949,75.831,382
斗六市,28606,19172153,670,438,217,835,875.44,130.62,109,108100,93.7151,1153
斗南鎮,10478,6264911,598,406,203,761,769.77,128.74,28,43584,48.1505,905
虎尾鎮,16467,11320496,687,472,224,932,721.00,104.88,69,70648,68.742,1028
西螺鎮,8241,4845238,588,412,195,772,622.93,105.95,34,45029,49.7985,904
土庫鎮,5337,3170078,594,412,204,756,635.66,107.02,11,27938,49.0212,570
北港鎮,8440,5185521,614,428,196,803,689.04,112.15,26,38437,41.4999,926
古坑鄉,6160,3272215,531,366,179,686,619.30,116.58,13,30438,166.6059,183
大埤鄉,3524,1873012,532,360,182,664,628.62,118.27,6,18451,44.9973,410
莿桐鄉,5934,3161875,533,380,194,662,591.00,110.91,16,27970,50.8502,550
林內鄉,3714,1793791,483,355,188,613,491.94,101.85,8,17131,37.6035,456
二崙鄉,4052,2282515,563,400,188,729,663.18,117.73,6,25660,59.5625,431
崙背鄉,3970,2402342,605,423,204,784,659.74,109.02,12,23584,58.484,403
